Rank,Hotness Score,Matchup,Time,Location
1,99.2,#15 Baylor  at  #10 Arizona,11:00 PM,McKale Memorial Center
2,98.5,#24 Mississippi  at  #4 Alabama,7:00 PM,Coleman Coliseum
3,98.4,#21 Texas A&M  at  #18 Kentucky,7:00 PM,Rupp Arena at Central Bank Center
4,98.1,#22 Miss State  at  #1 Auburn,7:00 PM,Neville Arena
5,97.4,#28 Ohio St  at  #25 Wisconsin,9:00 PM,Kohl Center
6,97.1,#12 Illinois  at  #51 Indiana,7:00 PM,Simon Skjodt Assembly Hall
7,97.0,#38 Missouri  at  #7 Florida,9:00 PM,Exactech Arena at the Stephen C. O'Connell Center
8,95.3,#43 Villanova  at  #48 Xavier,6:30 PM,Cintas Center
9,95.1,#40 Arkansas  at  #58 LSU,9:00 PM,Pete Maravich Assembly Center
10,94.9,#33 Iowa  at  #63 USC,10:30 PM,Galen Center
11,93.9,#71 Georgetown  at  #23 St Johns,7:30 PM,Madison Square Garden
12,92.5,#17 Texas Tech  at  #93 Kansas St,9:00 PM,Bramlage Coliseum
13,92.3,#79 Providence  at  #44 Creighton,8:30 PM,CHI Health Center Omaha
14,92.0,#72 UCF  at  #60 Arizona St,11:00 PM,Desert Financial Arena
15,91.8,#77 Colorado St  at  #50 San Diego St,11:00 PM,Viejas Arena
16,90.8,#34 Clemson  at  #100 GA Tech,9:00 PM,McCamish Pavilion
17,90.1,#14 Marquette  at  #110 DePaul,7:00 PM,Wintrust Arena
17,90.1,#107 Miami  at  #2 Duke,9:00 PM,Cameron Indoor Stadium
19,90.0,#37 Louisville  at  #104 Syracuse,7:00 PM,JMA Wireless Dome
19,90.0,#105 Oklahoma St  at  #36 BYU,9:00 PM,Marriott Center
21,87.3,#117 Saint Louis  at  #55 VCU,7:00 PM,Stuart C. Siegel Center
22,80.9,#164 Wyoming  at  #59 Boise St,9:00 PM,ExtraMile Arena
23,78.3,#83 North Texas  at  #171 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
24,76.2,#56 New Mexico  at  #200 San Jose St,10:00 PM,Provident Credit Union Event Center
25,70.8,#183 Toledo  at  #135 Akron,7:00 PM,James A. Rhodes Arena
26,67.9,#190 Valparaiso  at  #150 Belmont,7:30 PM,Curb Event Center
27,62.2,#233 Charlotte  at  #141 Wichita St,7:30 PM,Charles Koch Arena
28,61.8,#235 Ball St  at  #142 Ohio,7:00 PM,Convocation Center
29,60.5,#267 Evansville  at  #106 N Iowa,8:00 PM,McLeod Center
30,60.2,#291 Air Force  at  #57 Nevada,10:00 PM,Lawlor Events Center
31,53.2,#241 UTSA  at  #198 Rice,8:00 PM,Tudor Fieldhouse
32,51.5,#303 W Michigan  at  #125 Kent St,7:00 PM,Memorial Athletic and Convocation Center
33,41.0,#250 AR Lit Rock  at  #268 SE Missouri,8:30 PM,Show Me Center
34,36.8,#162 Miami (OH)  at  #356 N Illinois,7:00 PM,NIU Convocation Center
35,32.5,#327 E Michigan  at  #232 Central Mich,7:00 PM,McGuirk Arena
36,23.2,#342 Buffalo  at  #271 Bowling Grn,7:00 PM,Stroh Center
