Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Atlanta,Cleveland,Cleveland,-11.5,242.,252,[]
L.A. Lakers,Washington,L.A. Lakers,-8.5,223.5.,230,[]
Minnesota,Utah,Minnesota,-5.5,224.5.,251,[]
Houston,Memphis,Houston,+4,233.5.,239,[]
Orlando,Portland,Portland,+5,212.,209,[]
