Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Sacramento,New Orleans,New Orleans,+8,236.5.,273,[]
Golden State,Houston,Golden State,-1.5,225.5.,203,[]
Oklahoma City,Minnesota,Minnesota,+9.5,229.,217,[]
Miami,Dallas,Dallas,+3,218.5.,231,[]
L.A. Clippers,Utah,Utah,+10,229.5.,236,[]
