Rank,Hotness Score,Matchup,Time,Location
1,97.6,#16 Connecticut  at  #40 Villanova,6:30 PM,William B. Finneran Pavilion
2,97.4,#33 Penn St  at  #12 Illinois,9:00 PM,State Farm Center
3,97.3,#31 Mississippi  at  #35 Arkansas,7:00 PM,Bud Walton Arena
4,96.6,#19 Texas A&M  at  #51 Oklahoma,9:00 PM,Lloyd Noble Center
5,95.7,#59 Arizona St  at  #10 Kansas,9:00 PM,Allen Fieldhouse
6,94.0,#7 Alabama  at  #79 S Carolina,7:00 PM,Colonial Life Arena
7,93.1,#65 USC  at  #47 Indiana,7:00 PM,Simon Skjodt Assembly Hall
8,90.2,#78 Notre Dame  at  #76 NC State,7:00 PM,Lenovo Center
9,90.0,#70 Butler  at  #85 Providence,8:30 PM,Amica Mutual Pavilion
10,89.2,#86 Colorado  at  #77 UCF,7:00 PM,Addition Financial Arena
11,89.1,#63 Florida St  at  #97 Miami,7:00 PM,Watsco Center
12,88.5,#92 Drake  at  #80 Bradley,7:00 PM,Carver Arena
13,84.5,#81 St Bonavent  at  #124 Saint Louis,8:00 PM,Chaifetz Arena
14,83.9,#111 Murray St  at  #102 N Iowa,7:00 PM,McLeod Center
15,83.2,#120 VA Tech  at  #94 Stanford,9:00 PM,Maples Pavilion
16,83.1,#118 Geo Wshgtn  at  #103 Rhode Island,7:00 PM,Thomas M. Ryan Center
17,81.9,#107 Virginia  at  #128 California,11:00 PM,Haas Pavilion
18,81.4,#105 DePaul  at  #133 Seton Hall,6:30 PM,Prudential Center
19,80.4,#96 St Josephs  at  #150 Duquesne,7:00 PM,UPMC Cooper Fieldhouse
20,79.4,#129 S Dakota St  at  #125 St. Thomas,9:00 PM,Schoenecker Arena
21,77.2,#115 Loyola-Chi  at  #156 La Salle,6:30 PM,John Glaser Arena
22,76.0,#152 WI-Milwkee  at  #130 IPFW,7:00 PM,Allen County War Memorial Coliseum
23,75.0,#61 Dayton  at  #203 U Mass,7:00 PM,William D. Mullins Memorial Center
24,74.9,#187 Rice  at  #91 North Texas,9:00 PM,UNT Coliseum
25,72.9,#123 Temple  at  #182 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
26,72.6,#221 Fordham  at  #52 VCU,7:00 PM,Stuart C. Siegel Center
27,70.3,#226 Richmond  at  #73 Geo Mason,7:00 PM,EagleBank Arena
28,68.8,#101 Fla Atlantic  at  #223 Charlotte,7:00 PM,Dale F. Halton Arena
29,66.2,#167 Indiana St  at  #189 Valparaiso,8:00 PM,Athletics-Recreation Center
30,65.4,#180 NC-Asheville  at  #183 Longwood,7:00 PM,Joan Perry Brock Center
31,65.0,#155 E Tenn St  at  #209 Mercer,7:00 PM,Hawkins Arena
32,62.0,#205 N Kentucky  at  #179 Youngs St,6:30 PM,Zidian Family Arena at Beeghly Center
33,61.9,#284 Air Force  at  #48 San Diego St,10:30 PM,Viejas Arena
34,61.1,#161 Winthrop  at  #229 Gard-Webb,7:00 PM,Paul Porter Arena
35,58.2,#316 San Diego  at  #6 Gonzaga,9:00 PM,McCarthey Athletic Center
36,57.4,#252 S Illinois  at  #151 Belmont,7:30 PM,Curb Event Center
37,57.0,#114 High Point  at  #285 Charl South,7:00 PM,Buccaneer Field House
38,56.4,#126 Illinois St  at  #280 Evansville,8:00 PM,Ford Center
39,51.0,#210 Cleveland St  at  #245 Rob Morris,7:00 PM,UPMC Events Center
40,48.7,#192 Kansas City  at  #276 Neb Omaha,9:00 PM,Baxter Arena
41,48.3,#281 Coastal Car  at  #184 App State,6:30 PM,Holmes Convocation Center
42,42.2,#268 Lehigh  at  #243 Colgate,7:00 PM,Cotterell Court
43,42.0,#112 Furman  at  #359 Citadel,7:00 PM,McAlister Field House
44,41.1,#345 W Carolina  at  #141 Wofford,7:00 PM,Jerry Richardson Indoor Stadium
45,39.7,#275 Lafayette  at  #248 Bucknell,7:00 PM,Sojka Pavilion
46,39.6,#269 American  at  #257 Boston U,7:00 PM,Case Gym
47,32.8,#291 GA Southern  at  #274 Georgia St,8:30 PM,Georgia State Convocation Center
48,29.0,#300 Loyola-MD  at  #287 Army,6:00 PM,Christl Arena
49,28.5,#234 Presbyterian  at  #347 SC Upstate,7:00 PM,G.B. Hodge Center
50,25.1,#286 Navy  at  #317 Holy Cross,6:00 PM,Hart Center
