Rank,Hotness Score,Matchup,Time,Location
1,95.9,#5 Houston  at  #6 New York,7:30 PM,Madison Square Garden
2,84.5,#13 Sacramento  at  #8 Minnesota,8:00 PM,Target Center
3,77.6,#11 Milwaukee  at  #1 Okla City,8:00 PM,Paycom Center
4,73.9,#18 Orlando  at  #14 Golden State,10:00 PM,Chase Center
5,73.7,#19 San Antonio  at  #4 Memphis,8:00 PM,FedExForum
6,68.5,#17 Phoenix  at  #25 Portland,10:00 PM,Moda Center
7,63.2,#22 Atlanta  at  #21 Detroit,7:00 PM,Little Caesars Arena
8,59.8,#12 Indiana  at  #28 Utah,9:00 PM,Delta Center
9,56.4,#27 New Orleans  at  #7 Denver,9:00 PM,Ball Arena
10,38.7,#30 Washington  at  #26 Charlotte,7:00 PM,Spectrum Center
