Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Atlanta,Detroit,Atlanta,+4.5,236.5.,262,[]
Washington,Charlotte,Washington,+4.5,216.,238,[]
Houston,New York,Houston,+7,224.5.,242,[]
San Antonio,Memphis,Memphis,-4,241.5.,237,[]
Milwaukee,Oklahoma City,Oklahoma City,-17.5,226.5.,221,[]
Sacramento,Minnesota,Sacramento,+4.5,222.,230,[]
New Orleans,Denver,Denver,-9,241.5.,238,[]
Indiana,Utah,Utah,+6.5,243.,223,[]
Orlando,Golden State,Golden State,-3,209.,203,[]
Phoenix,Portland,Portland,+5,228.5.,240,[]
