Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Boston,Minnesota,Boston,-2.5,215.5.,233,[]
Indiana,Miami,Indiana,+2,224.5.,243,[]
Brooklyn,Milwaukee,Brooklyn,+12,223.5.,223,[]
L.A. Clippers,Oklahoma City,Oklahoma City,-12,215.,214,[]
Philadelphia,Golden State,Philadelphia,+4,219.5.,0,[]
Portland,L.A. Lakers,L.A. Lakers,-7,225.,220,[]
