Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Hawaii,Hawaii,-5.0,142.5.,133,[],False
Hofstra,Temple,4.5,141.5.,102,[],False
Virginia Tech,Navy,13.5,140.5.,152,[],False
Northern Kentucky,Northern Kentucky,-4.0,137.,133,[],False
Old Dominion,Old Dominion,7.0,142.5.,146,[],False
Iowa State,Nebraska Omaha,35.0,148.5.,134,[],False
Rhode Island,Central Conn. St.,9.5,142.5.,146,[],False
Milwaukee,Milwaukee,-1.5,155.5.,181,[],False
Miami-Florida,Presbyterian,19.5,143.,169,[],False
Chattanooga,Chattanooga,-17.5,151.,148,[],False
North Dakota State,North Dakota State,-8.5,145.,160,[],False
Colgate,Colgate,1.5,128.,125,[],False
Iowa,Iowa,-31.5,163.5.,161,[],False
Mercer,Chicago St.,15.5,151.,138,[],False
Little Rock,Illinois-Chicago,3.0,146.5.,146,[],False
Morgan St.,Morgan St.,6.0,150.,162,[],False
Eastern Michigan,Purdue Fort Wayne,-5.5,147.,175,[],False
Texas,Texas,-38.5,160.,178,[],False
North Dakota,Texas-San Antonio,-2.0,154.5.,180,[],False
Georgia Tech,Northwestern,-6.5,138.5.,131,[],False
Boston College,Stonehill,14.0,135.,142,[],False
Illinois St.,Illinois St.,2.0,148.5.,158,[],False
Kent St.,Kent St.,-17.5,127.5.,139,[],False
CSU Fullerton,CSU Fullerton,-3.5,137.,133,[],False
Oregon,Stephen F. Austin,21.5,135.5.,140,[],False
UAB,Arkansas St.,3.5,159.5.,187,[],False
Loyola-Chicago,San Francisco,-4.0,137.,142,[],False
Idaho,UC San Diego,-7.5,141.,136,[],False
Southern California,Southern California,-9.0,143.,152,[],False
