Rank,Hotness Score,Matchup,Time,Location
1,91.6,#3 Denver  at  #10 Minnesota,9:30 PM,Target Center
2,91.1,#2 Cleveland  at  #11 Detroit,7:00 PM,Little Caesars Arena
3,81.7,#17 Memphis  at  #8 Golden State,10:00 PM,Chase Center
4,81.3,#12 Orlando  at  #16 Philadelphia,7:00 PM,Xfinity Mobile Arena
5,77.9,#19 Toronto  at  #7 San Antonio,8:00 PM,Frost Bank Center
6,76.1,#20 Portland  at  #6 LA Lakers,10:30 PM,Crypto.com Arena
7,68.1,#15 Atlanta  at  #21 Chicago,8:00 PM,United Center
8,63.1,#1 Okla City  at  #23 Dallas,8:30 PM,American Airlines Center
9,53.4,#27 Phoenix  at  #28 Utah,9:00 PM,Delta Center
10,53.2,#29 Brooklyn  at  #5 Houston,8:00 PM,Toyota Center
11,52.2,#18 Boston  at  #26 New Orleans,8:00 PM,Smoothie King Center
