Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Phoenix,Philadelphia,Phoenix,-2,222.5.,208,[]
Portland,Detroit,Portland,+6,224.,233,[]
Indiana,Brooklyn,Indiana,-11,221.5.,212,[]
Orlando,New York,Orlando,+10.5,207.,197,[]
Milwaukee,Toronto,Milwaukee,-6,231.,232,[]
San Antonio,Chicago,Chicago,+3,236.,224,[]
Dallas,Memphis,Memphis,-4.5,232.,223,[]
L.A. Clippers,Minnesota,L.A. Clippers,+2.5,214.5.,214,[]
Miami,Sacramento,Sacramento,-4,218.5.,241,[]
