Rank,Hotness Score,Matchup,Time,Location
1,99.0,#15 Illinois  vs.  #18 Kentucky,5:15 PM,Fiserv Forum
2,98.5,#31 Mississippi  vs.  #7 Iowa St,7:45 PM,Fiserv Forum
2,98.5,#30 Oregon  vs.  #9 Arizona,9:40 PM,Climate Pledge Arena
4,98.4,#22 Baylor  vs.  #1 Duke,2:40 PM,Lenovo Center
5,98.1,#23 UConn  vs.  #4 Florida,12:10 PM,Lenovo Center
6,97.9,#35 Saint Mary's  vs.  #5 Alabama,6:10 PM,Rocket Arena
7,97.1,#42 New Mexico  vs.  #12 Michigan St,8:40 PM,Rocket Arena
8,96.5,#52 Colorado St  vs.  #10 Maryland,7:10 PM,Climate Pledge Arena
9,90.9,#95 Oklahoma St  at  #43 SMU,3:00 PM,Moody Coliseum
10,89.4,#98 UAB  at  #59 Santa Clara,9:00 PM,Leavey Center
11,88.0,#92 Arkansas St  at  #83 N Texas,7:00 PM,UNT Coliseum
12,87.8,#105 Loyola Chi  at  #67 San Francisco,7:00 PM,War Memorial at the Sobrato Center
13,84.5,#124 Kent St  at  #80 Stanford,9:00 PM,Maples Pavilion
14,84.0,#131 Jacksonville St  at  #76 UC Irvine,9:00 PM,Bren Events Center
15,61.8,#139 Illinois St  vs.  #239 Presbyterian,6:30 PM,Ocean Center
16,48.6,#230 Queens  vs.  #242 N Arizona,4:30 PM,Ocean Center
17,41.1,#257 Manhattan  vs.  #261 Incarnate Word,12:00 PM,Ocean Center
18,40.2,#202 Elon  vs.  #312 Army,2:00 PM,Ocean Center
