Rank,Hotness Score,Matchup,Time,Location
1,99.4,#7 St John's  vs.  #8 Iowa St,4:30 PM,Mandalay Bay Events Center
2,99.1,#15 Alabama  vs.  #2 Gonzaga,9:30 PM,MGM Grand Arena
3,96.2,#12 Michigan  vs.  #55 San Diego St,10:30 PM,Mandalay Bay Events Center
4,95.8,#4 Houston  vs.  #56 Syracuse,6:00 PM,MGM Grand Arena
5,95.6,#40 Baylor  vs.  #45 Creighton,2:00 PM,Mandalay Bay Events Center
6,95.2,#60 Oregon  vs.  #19 Auburn,8:00 PM,Mandalay Bay Events Center
7,94.9,#20 Kansas  vs.  #69 Notre Dame,3:30 PM,MGM Grand Arena
8,94.6,#68 Boise St  vs.  #33 USC,5:00 PM,Lahaina Civic Center
9,92.5,#36 Texas  vs.  #89 Arizona St,11:30 PM,Lahaina Civic Center
10,91.2,#18 NC State  vs.  #101 Seton Hall,2:30 PM,Lahaina Civic Center
11,89.2,#96 UNLV  vs.  #71 Maryland,11:59 PM,MGM Grand Arena
12,88.2,#122 Rutgers  vs.  #16 Tennessee,1:00 PM,MGM Grand Arena
13,85.5,#103 Murray St  vs.  #91 McNeese,7:30 PM,John Gray Gymnasium
14,85.3,#61 G Washington  vs.  #132 Middle Tenn,5:00 PM,John Gray Gymnasium
15,82.7,#130 Florida Atlantic  vs.  #98 Loyola Mymt,8:30 PM,Ocean Center
16,82.0,#100 UAB  vs.  #133 S Illinois,1:30 PM,John Hurst Adams Gymnasium
17,80.4,#184 UT Rio Grande  at  #5 Illinois,8:00 PM,State Farm Center
18,79.0,#135 Towson  vs.  #115 Rhode Island,11:00 AM,HP Field House
19,78.2,#129 Temple  vs.  #131 UCSD,4:30 PM,HP Field House
20,78.1,#106 Troy  vs.  #154 Toledo,11:00 AM,Alico Arena
21,76.8,#87 Liberty  vs.  #176 Vermont,1:30 PM,HP Field House
22,75.7,#94 George Mason  vs.  #177 Ohio,6:00 PM,Ocean Center
23,73.7,#214 New Orleans  at  #70 Mississippi St,7:30 PM,Humphrey Coliseum
24,71.5,#241 E Michigan  at  #6 Louisville,7:00 PM,KFC Yum! Center
25,70.5,#128 Kennesaw St  vs.  #195 Rice,4:30 PM,Alico Arena
26,70.4,#247 Denver  at  #11 Arizona,10:30 PM,McKale Memorial Center
27,68.2,#211 Princeton  vs.  #126 Bradley,7:00 PM,HP Field House
27,68.2,#138 Jacksonville St  at  #199 Arkansas St,8:00 PM,First National Bank Arena
29,66.4,#167 Oakland  vs.  #185 Lamar,4:00 PM,Dahlberg Arena/Robin Selvig Court
30,63.4,#278 Radford  at  #42 SMU,8:00 PM,Moody Coliseum
31,60.4,#169 William & Mary  vs.  #221 UTEP,4:00 PM,John Hurst Adams Gymnasium
32,56.7,#172 Youngstown St  vs.  #246 Georgia So,6:30 PM,John Hurst Adams Gymnasium
33,56.3,#232 Elon  at  #192 App State,6:30 PM,Holmes Convocation Center
34,55.5,#206 Stony Brook  vs.  #224 Pacific,11:30 AM,Ocean Center
35,53.4,#204 J Madison  at  #236 Florida Intl,7:00 PM,Ocean Bank Convocation Center
36,52.6,#248 Jacksonville  vs.  #193 Bethune,2:00 PM,Ocean Center
37,51.2,#233 E Kentucky  at  #217 N Kentucky,7:00 PM,Truist Arena
38,50.1,#225 UTSA  vs.  #238 Abl Christian,9:00 PM,John Hurst Adams Gymnasium
39,49.7,#349 NJIT  at  #51 Cincinnati,7:00 PM,Fifth Third Arena
40,49.4,#303 Bucknell  vs.  #148 Bowling Green,12:00 PM,Suncoast Credit Union Arena
41,44.4,#212 Cal Poly  at  #281 N Arizona,8:00 PM,Findlay Toyota Court at J. Lawrence Walkup Skydome
42,44.0,#271 Sacred Heart  at  #223 C Connecticut,7:00 PM,Harrison J. Kaiser Hall/Detrick Gymnasium
43,43.5,#283 LIU  at  #218 Missouri St,8:00 PM,Great Southern Bank Arena
44,42.8,#312 Oral Roberts  at  #183 FGCU,7:00 PM,Alico Arena
45,41.3,#112 Belmont  vs.  #361 St Francis PA,1:30 PM,Alico Arena
46,40.9,#273 Grambling  at  #245 UC Riverside,3:00 PM,SRC Arena
47,39.3,#179 Siena  at  #336 Holy Cross,6:00 PM,Hart Center
48,38.2,#315 Louisiana  at  #207 UC Davis,9:00 PM,University Credit Union Center
49,28.4,#327 VMI  vs.  #252 Buffalo,2:30 PM,Suncoast Credit Union Arena
50,17.2,#298 E Texas A&M  at  #351 F Dickinson,12:00 PM,Bogota Savings Bank Center
51,16.0,#335 Kansas City  at  #317 Lindenwood,7:00 PM,Robert F. Hyland Arena
52,12.1,#324 Bellarmine  at  #352 The Citadel,7:00 PM,McAlister Field House
53,--,Hawaii Pacific  at  #107 Hawai'i,11:59 PM,Bankoh Arena at the Stan Sheriff Center
53,--,Nobel University  at  #160 UCSB,9:00 PM,The Thunderdome
53,--,Texas Lutheran  at  #197 Texas St,7:00 PM,Strahan Arena at the University Events Center
53,--,Marywood  at  #270 American,7:00 PM,Bender Arena
53,--,Chaminade  vs.  #150 Washington St,9:00 PM,Lahaina Civic Center
53,--,Notre Dame (MD)  at  #306 UMBC,6:00 PM,Chesapeake Employers Insurance Arena
