Rank,Hotness Score,Matchup,Time,Location
1,88.6,#4 Cleveland  at  #12 Toronto,7:00 PM,Scotiabank Arena
2,80.1,#2 Houston  at  #16 Phoenix,9:30 PM,Mortgage Matchup Center
3,73.6,#18 Portland  at  #20 Milwaukee,8:00 PM,Fiserv Forum
4,68.5,#3 Denver  at  #21 Memphis,8:00 PM,FedExForum
5,68.2,#7 Minnesota  at  #24 Sacramento,10:00 PM,Golden 1 Center
6,59.1,#5 New York  at  #29 Brooklyn,7:30 PM,Barclays Center
7,57.1,#27 Utah  at  #14 Golden State,10:00 PM,Chase Center
8,53.2,#23 Dallas  at  #8 Miami,7:30 PM,Kaseya Center
9,50.8,#6 Detroit  at  #26 Indiana,7:00 PM,Gainbridge Fieldhouse
10,44.8,#22 Chicago  at  #28 New Orleans,8:00 PM,Smoothie King Center
