Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Howard,Drexel,-1.5,143.,133,[],False
St. John'S,St. John's,-11.5,151.,150,[],False
UNC Asheville,UNC Asheville,-3.0,162.,176,[],False
North Carolina A&T,Coastal Carolina,4.0,146.,141,[],False
East Carolina,East Carolina,-8.0,143.,139,[],False
Michigan St.,Michigan St.,-16.5,133.5.,135,[],False
Duke,Duke,-19.5,136.,115,[],False
Siena,St. Bonaventure,-6.5,127.5.,113,[],False
Florida,Florida,-3.5,168.5.,174,[],False
Dayton,UNLV,11.0,140.,131,[],False
Mississippi,Southern,23.0,143.,135,[],False
Quinnipiac,Holy Cross,10.0,143.5.,139,[],False
Tennessee,Tennessee,-36.0,143.,120,[],False
Robert Morris,Robert Morris,1.5,132.5.,135,[],False
Wake Forest,Wake Forest,-8.0,135.5.,133,[],False
Florida State,Florida State,-11.0,159.5.,146,[],False
Charlotte,West Georgia,12.5,139.,145,[],False
South Carolina,South Carolina,1.5,135.,179,[],False
Georgia Southern,Georgia Southern,-3.5,152.5.,167,[],False
Missouri,Jacksonville St.,16.5,146.,155,[],False
Villanova,Villanova,-8.0,126.,146,[],False
Mississippi State,Mississippi State,-20.0,148.,142,[],False
Wichita St.,Kansas City,13.5,146.5.,138,[],False
Maryland,Maryland,-33.0,147.,168,[],False
Ohio St.,Ohio St.,-21.5,150.,168,[],False
Auburn,Auburn,-39.5,155.5.,159,[],False
Southern Miss,Lamar,-2.0,137.5.,134,[],False
Kansas State,Drake,1.5,133.,143,[],False
Western Kentucky,Western Kentucky,-6.0,149.5.,159,[],False
UL Monroe,Houston Christian,4.0,137.5.,142,[],False
Western Illinois,Western Illinois,-2.0,139.5.,139,[],False
Boise St.,Boise St.,-24.0,148.5.,133,[],False
Utah St.,UC San Diego,10.0,150.,148,[],False
Colorado St.,Radford,11.5,137.,146,[],False
Utah,Florida A&M,31.5,152.5.,148,[],False
Louisiana State,Louisiana State,-23.5,151.,152,[],False
UCLA,UCLA,-34.0,146.5.,186,[],False
Oregon St.,Oregon St.,-20.5,132.,127,[],False
Stanford,Merrimack,15.5,135.5.,142,[],False
Cal Poly SLO,Denver,10.5,160.5.,189,[],False
