Rank,Hotness Score,Matchup,Time,Location
1,93.3,#4 Memphis  at  #10 LA Clippers,10:30 PM,Intuit Dome
2,80.4,#16 Detroit  at  #15 Dallas,8:30 PM,American Airlines Center
3,78.0,#7 Houston  at  #19 Miami,8:00 PM,Kaseya Center
4,75.6,#6 Denver  at  #22 Portland,10:00 PM,Moda Center
5,74.8,#2 Cleveland  at  #17 Phoenix,10:00 PM,PHX Arena
6,61.0,#24 Philadelphia  at  #20 San Antonio,8:00 PM,Frost Bank Center
7,59.1,#26 New Orleans  at  #5 Minnesota,8:00 PM,Target Center
8,57.0,#3 Boston  at  #28 Utah,9:30 PM,Delta Center
9,51.0,#18 Orlando  at  #30 Washington,7:00 PM,Capital One Arena
10,43.2,#29 Charlotte  at  #1 Okla City,8:00 PM,Paycom Center
