Team,ATS Record,Cover %,MOV,ATS +/-
North Carolina,27-23-4,54.0%,7.7,+0.1
NC Central,35-30-0,53.9%,4.7,-1.1
Illinois St,7-6-0,53.9%,6.9,+3.8
C Connecticut,35-30-1,53.9%,-6.7,-0.5
Middle Tenn,42-36-1,53.9%,3.2,+1.0
Penn,15-13-0,53.6%,2.4,+1.8
UC Riverside,40-35-5,53.3%,2.0,+1.4
UT Arlington,50-44-4,53.2%,1.8,-0.3
SE Missouri St,50-44-1,53.2%,-2.3,+0.5
G Washington,9-8-0,52.9%,0.9,-1.1
Fresno St,9-8-0,52.9%,5.3,+3.1
Evansville,9-8-0,52.9%,2.0,+0.1
Omaha,39-35-0,52.7%,-4.5,-0.2
Campbell,20-18-1,52.6%,-0.2,+0.6
UMBC,20-18-1,52.6%,-1.0,+2.3
Georgetown,10-9-1,52.6%,3.3,-0.4
Tulane,10-9-1,52.6%,1.5,-0.1
Youngstown St,40-36-0,52.6%,2.0,+0.7
Longwood,20-18-1,52.6%,-1.0,+0.2
Incarnate Word,20-18-0,52.6%,-2.5,+1.3
Stony Brook,21-19-1,52.5%,-0.2,+0.3
North Dakota,42-38-2,52.5%,1.5,+1.8
N Colorado,53-48-3,52.5%,3.4,+1.3
S Carolina St,32-29-2,52.5%,-4.3,+1.1
Louisiana,44-40-2,52.4%,2.2,-0.2
George Mason,11-10-0,52.4%,3.4,-0.3
Indiana,11-10-0,52.4%,10.5,-2.9
Providence,12-11-1,52.2%,9.4,+4.5
FGCU,24-22-0,52.2%,7.2,+0.4
Penn St,12-11-0,52.2%,7.4,+2.0
Rutgers,12-11-2,52.2%,5.4,+0.5
S Alabama,49-45-1,52.1%,1.3,+0.4
Furman,26-24-1,52.0%,5.5,+0.7
Illinois,13-12-0,52.0%,7.6,-1.0
Charleston So,14-13-1,51.9%,-1.4,+0.4
Florida Intl,42-39-1,51.9%,-1.6,-1.1
N Arizona,57-53-3,51.8%,-5.1,0.0
UT Rio Grande,30-28-0,51.7%,-5.2,-0.9
High Point,16-15-0,51.6%,-0.2,-1.2
Montana,49-46-9,51.6%,6.0,+0.3
Troy,50-47-1,51.6%,0.6,+0.8
CS Northridge,34-32-2,51.5%,-4.5,-0.1
Washington St,35-33-1,51.5%,-0.9,+1.4
TCU,18-17-1,51.4%,1.3,+0.1
CS Fullerton,36-34-1,51.4%,-2.2,-0.1
E Texas A&M,18-17-1,51.4%,-7.9,-0.2
Hofstra,41-39-3,51.3%,5.7,+0.2
Siena,43-41-0,51.2%,-1.7,-0.3
E Kentucky,46-44-1,51.1%,-0.1,-0.9
Pepperdine,51-49-4,51.0%,-3.5,-0.5
UT Martin,52-50-2,51.0%,-1.4,-0.1
E Tennessee St,28-27-0,50.9%,7.9,+0.3
Duke,28-27-1,50.9%,8.2,-1.9
Rice,39-38-3,50.7%,-0.2,+1.1
Marist,41-40-1,50.6%,-3.3,+1.0
Manhattan,45-44-1,50.6%,-2.6,-0.3
S Utah,49-48-1,50.5%,-1.7,0.0
NC State,10-10-0,50.0%,4.5,+1.4
Kansas City,29-29-0,50.0%,1.0,+0.6
Georgia Tech,16-16-0,50.0%,-0.3,-0.9
Northwestern,9-9-0,50.0%,5.0,+0.3
Prairie View,41-41-3,50.0%,-0.2,-0.2
Wright St,37-37-2,50.0%,7.1,+1.6
Colgate,13-13-0,50.0%,8.4,+3.3
American,9-9-0,50.0%,-2.7,0.0
Coppin St,33-33-0,50.0%,-11.4,-1.1
NW State,22-22-3,50.0%,-4.6,+1.2
Washington,37-37-0,50.0%,0.4,+0.5
N Iowa,5-5-1,50.0%,5.8,-0.9
Utah St,11-11-0,50.0%,8.0,+0.7
San Jose St,15-15-1,50.0%,-4.6,+0.4
Cincinnati,11-11-0,50.0%,9.4,+2.3
Abl Christian,16-16-2,50.0%,0.3,0.0
Stanford,33-33-2,50.0%,1.4,+0.7
Charleston,44-44-2,50.0%,3.8,-0.1
C Michigan,11-11-1,50.0%,5.5,+0.5
W Illinois,34-34-2,50.0%,-0.5,-0.5
Jacksonville St,44-44-3,50.0%,1.0,-0.2
UCF,11-11-0,50.0%,-1.9,-0.5
N Florida,32-32-0,50.0%,-1.8,-1.2
Miami OH,7-7-0,50.0%,6.1,+1.3
