Team,Over Record,Over %,Under %,Total +/-
Syracuse,255-283-8,47.4%,52.6%,-0.4
E Tennessee St,122-136-3,47.3%,52.7%,-0.5
N Iowa,189-211-3,47.3%,52.8%,-0.6
The Citadel,77-86-1,47.2%,52.8%,+0.3
UT Arlington,102-114-0,47.2%,52.8%,+0.1
Utah Valley,85-95-1,47.2%,52.8%,+0.1
Louisiana,159-178-4,47.2%,52.8%,+0.3
Kansas St,182-204-5,47.2%,52.9%,0.0
Saint Joseph's,172-193-2,47.1%,52.9%,+0.2
Wagner,64-72-2,47.1%,52.9%,-0.7
Creighton,224-252-10,47.1%,52.9%,-0.4
Hampton,63-71-1,47.0%,53.0%,+2.1
Rice,118-133-1,47.0%,53.0%,+0.5
Nebraska,146-165-5,47.0%,53.1%,-0.7
S Alabama,153-173-8,46.9%,53.1%,-0.3
Loyola MD,99-112-4,46.9%,53.1%,-0.2
App State,143-162-4,46.9%,53.1%,-0.7
Grambling,60-68-1,46.9%,53.1%,-1.2
F Dickinson,52-59-2,46.9%,53.2%,-0.1
NC Central,67-76-1,46.9%,53.2%,-2.0
Washington St,155-176-5,46.8%,53.2%,+0.4
S Florida,121-138-1,46.7%,53.3%,-0.9
Hawai'i,165-189-5,46.6%,53.4%,+0.2
C Arkansas,34-39-2,46.6%,53.4%,+1.1
E Michigan,121-139-1,46.5%,53.5%,-0.4
Davidson,201-232-5,46.4%,53.6%,-0.2
N Texas,162-187-4,46.4%,53.6%,-0.3
UC Davis,108-125-4,46.4%,53.7%,+0.2
Bryant,63-73-2,46.3%,53.7%,+0.7
Middle Tenn,174-203-10,46.2%,53.9%,-0.1
Fairfield,137-160-7,46.1%,53.9%,-0.8
Lamar,53-62-0,46.1%,53.9%,-1.0
Texas A&M,176-207-4,46.0%,54.1%,-0.4
Kansas,321-378-9,45.9%,54.1%,-0.1
Saint Peter's,121-143-5,45.8%,54.2%,-2.0
S Carolina St,44-52-0,45.8%,54.2%,-1.5
Samford,132-156-2,45.8%,54.2%,+1.3
NC Greensboro,148-175-4,45.8%,54.2%,-1.0
St John's,172-204-7,45.7%,54.3%,-0.6
Drexel,144-171-4,45.7%,54.3%,+0.3
S Illinois,163-194-4,45.7%,54.3%,-1.2
Seattle,79-94-3,45.7%,54.3%,-0.9
SIU Edward,67-80-4,45.6%,54.4%,-2.5
South Carolina,158-189-7,45.5%,54.5%,-0.6
Troy,116-139-4,45.5%,54.5%,-0.8
Tenn Tech,120-144-4,45.5%,54.6%,-0.2
E Texas A&M,15-18-0,45.5%,54.6%,-2.3
Virginia,210-253-4,45.4%,54.6%,-0.8
Oklahoma,205-247-4,45.4%,54.7%,-0.8
Nicholls,58-70-2,45.3%,54.7%,+0.6
Navy,61-74-1,45.2%,54.8%,-1.2
Harvard,128-156-2,45.1%,54.9%,-2.0
Georgia Tech,158-194-6,44.9%,55.1%,-0.8
Illinois,228-280-7,44.9%,55.1%,-1.0
Quinnipiac,82-101-1,44.8%,55.2%,-0.2
Alabama St,43-53-1,44.8%,55.2%,-2.1
San Diego St,223-276-5,44.7%,55.3%,-1.7
Michigan St,273-338-11,44.7%,55.3%,-1.4
Presbyterian,42-52-1,44.7%,55.3%,-0.9
UC Riverside,109-135-3,44.7%,55.3%,+0.1
Mt St Mary's,62-77-1,44.6%,55.4%,-2.0
Saint Mary's,219-274-6,44.4%,55.6%,-1.9
Saint Louis,167-210-6,44.3%,55.7%,-1.0
Morehead St,146-184-5,44.2%,55.8%,-0.6
Stonehill,15-19-0,44.1%,55.9%,-0.5
Cincinnati,218-277-7,44.0%,56.0%,-0.9
UC Irvine,171-224-6,43.3%,56.7%,-1.6
Cal Poly,92-121-4,43.2%,56.8%,-1.1
Maryland ES,30-40-1,42.9%,57.1%,-0.1
NC A&T,47-63-0,42.7%,57.3%,+0.3
Elon,108-147-2,42.4%,57.7%,-2.1
Florida A&M,36-49-1,42.4%,57.7%,-1.1
Cal Baptist,47-65-0,42.0%,58.0%,-2.6
Delaware St,30-42-1,41.7%,58.3%,-0.6
Southern,52-73-3,41.6%,58.4%,-2.0
LIU,29-42-1,40.9%,59.2%,-0.9
Binghamton,41-60-1,40.6%,59.4%,-1.3
Maine,34-50-0,40.5%,59.5%,-3.3
Dartmouth,53-81-0,39.6%,60.5%,-2.6
New Hampshire,44-69-2,38.9%,61.1%,-3.0
Charleston So,37-60-2,38.1%,61.9%,-3.4
Utah Tech,19-31-0,38.0%,62.0%,-3.2
Jackson St,44-76-0,36.7%,63.3%,-3.5
Merrimack,36-65-1,35.6%,64.4%,-4.2
Incarnate Word,24-44-1,35.3%,64.7%,-2.4
New Haven,1-2-0,33.3%,66.7%,-8.3
