Team,Over Record,Over %,Under %,Total +/-
UConn,8-13-0,38.1%,61.9%,-5.0
Alabama A&M,28-47-0,37.3%,62.7%,-2.8
Saint Joseph's,7-12-0,36.8%,63.2%,-0.2
Penn St,7-12-0,36.8%,63.2%,-0.4
Brown,7-12-0,36.8%,63.2%,-0.4
North Carolina,18-31-0,36.7%,63.3%,-3.2
Harvard,8-14-0,36.4%,63.6%,-1.2
Bradley,4-7-0,36.4%,63.6%,-3.9
Houston,12-21-1,36.4%,63.6%,-0.6
Michigan St,9-16-0,36.0%,64.0%,-5.5
Boston U,5-9-0,35.7%,64.3%,-3.1
Nebraska,10-18-1,35.7%,64.3%,-4.8
Georgia Tech,10-18-0,35.7%,64.3%,-3.5
Colorado,23-42-1,35.4%,64.6%,-2.8
Southern,25-46-0,35.2%,64.8%,-3.2
LIU,14-26-2,35.0%,65.0%,-1.3
Lafayette,7-13-0,35.0%,65.0%,-5.3
Jacksonville,16-30-0,34.8%,65.2%,-4.1
Toledo,1-2-0,33.3%,66.7%,-0.3
Sam Houston,13-27-0,32.5%,67.5%,-7.0
Tennessee,4-9-0,30.8%,69.2%,-3.2
Duquesne,6-15-0,28.6%,71.4%,-5.7
Yale,5-13-0,27.8%,72.2%,-2.5
Tulsa,3-8-0,27.3%,72.7%,-6.9
Davidson,3-9-0,25.0%,75.0%,-2.3
Michigan,5-16-1,23.8%,76.2%,-6.5
American,4-13-0,23.5%,76.5%,-8.7
Mississippi St,3-10-0,23.1%,76.9%,-9.8
Dartmouth,2-7-0,22.2%,77.8%,-6.3
Seton Hall,4-15-0,21.1%,79.0%,-4.6
Mississippi,2-11-0,15.4%,84.6%,-11.8
St Bonaventure,1-8-1,11.1%,88.9%,-10.1
Temple,1-11-0,8.3%,91.7%,-12.0
New Haven,0-1-0,0.0%,100.0%,-2.5
