Rank,Hotness Score,Matchup,Time,Location
1,78.9,#189 N Alabama  at  #33 Mississippi St,9:00 PM,Humphrey Coliseum
2,75.2,#210 Southern  at  #38 Marquette,8:00 PM,Fiserv Forum
3,75.1,#176 E Washington  at  #107 Loyola Mymt,10:30 PM,Gersten Pavilion
4,63.4,#274 Tarleton St  at  #61 LSU,8:00 PM,Pete Maravich Assembly Center
5,63.2,#266 S Indiana  at  #76 Butler,7:00 PM,Hinkle Fieldhouse
6,61.8,#292 South Dakota  at  #32 Creighton,8:00 PM,CHI Health Center Omaha
7,55.8,#320 Alabama A&M  at  #42 Indiana,8:00 PM,Simon Skjodt Assembly Hall
8,55.4,#305 E Texas A&M  at  #82 New Mexico,9:00 PM,The Pit
9,55.1,#168 N Dakota St  at  #260 UC Davis,9:00 PM,University Credit Union Center
10,50.9,#306 Delaware St  at  #130 Temple,7:00 PM,The Liacouras Center
10,50.9,#352 Maryland ES  at  #21 Georgia,7:00 PM,Stegeman Coliseum
12,49.8,#332 Rider  at  #90 Rutgers,6:00 PM,Jersey Mike's Arena
13,33.7,#339 SC Upstate  at  #211 Fresno St,9:00 PM,Save Mart Center
14,30.8,#363 Coppin St  at  #196 La Salle,6:30 PM,John E. Glaser Arena
15,--,Ottawa University (Arizona)  at  #161 Montana,9:00 PM,Dahlberg Arena/Robin Selvig Court
15,--,Bethesda University  at  #261 Utah Tech,9:00 PM,Burns Arena
15,--,Pacific Lutheran  at  #284 Cal Poly,10:00 PM,Mott Athletics Center
15,--,Northwest Indian College  at  #194 Montana St,9:00 PM,Brick Breeden Fieldhouse
15,--,Life Pacific  at  #216 Pacific,10:00 PM,Alex G. Spanos Center
15,--,Texas A&M-San Antonio  at  #275 Texas St,8:00 PM,Strahan Arena at the University Events Center
15,--,Milligan  at  #143 Middle Tenn,11:30 AM,Murphy Center
15,--,College of Biblical Studies  at  #186 UTSA,7:00 PM,Convocation Center
15,--,Lynchburg College  at  #280 Queens,7:00 PM,Curry Arena
15,--,Regent University  at  #239 Norfolk St,7:00 PM,Joseph G. Echols Memorial Hall
15,--,Washington & Lee  at  #145 J Madison,7:00 PM,Atlantic Union Bank Center
15,--,Plattsburgh State  at  #240 Vermont,7:00 PM,Patrick Gymnasium
15,--,Dallas University  at  #336 Prairie View,7:00 PM,William J. Nicks Building
15,--,Southern Virginia  at  #154 Richmond,7:00 PM,Robins Center
15,--,Dickinson PA  at  #295 Lafayette,7:00 PM,Kirby Sports Center
15,--,Belmont Abbey  at  #230 Elon,7:00 PM,Schar Center
15,--,La Grange  at  #228 Mercer,7:00 PM,Hawkins Arena
15,--,Piedmont International  at  #236 App State,6:30 PM,Holmes Convocation Center
15,--,Bluefield College  at  #316 Presbyterian,6:00 PM,Templeton Center
15,--,RIT  at  #347 Binghamton,6:00 PM,Events Center
15,--,Mississippi Univ. For Women  at  #365 Miss Valley St,7:00 PM,Harrison HPER Complex
