Rank,Hotness Score,Matchup,Time,Location
1,89.4,#2 Boston  at  #10 Orlando,7:00 PM,Kia Center
2,82.8,#13 LA Clippers  at  #4 Memphis,8:00 PM,FedExForum
3,77.9,#16 Phoenix  at  #8 Denver,10:00 PM,Ball Arena
4,76.5,#11 Minnesota  at  #21 Atlanta,7:30 PM,State Farm Arena
5,73.7,#17 Indiana  at  #9 Golden State,10:00 PM,Chase Center
6,72.1,#14 Milwaukee  at  #22 Chicago,8:00 PM,United Center
7,71.8,#20 San Antonio  at  #19 Philadelphia,7:00 PM,Wells Fargo Center
8,64.5,#25 Brooklyn  at  #12 Miami,7:30 PM,Kaseya Center
9,64.1,#23 Detroit  at  #18 LA Lakers,10:30 PM,Crypto.com Arena
10,63.8,#24 Toronto  at  #5 New York,7:30 PM,Madison Square Garden
11,59.1,#7 Houston  at  #26 Charlotte,7:00 PM,Spectrum Center
12,52.2,#29 Portland  at  #6 Dallas,8:30 PM,American Airlines Center
13,49.0,#28 Utah  at  #3 Cleveland,7:00 PM,Rocket Mortgage FieldHouse
14,37.1,#30 Washington  at  #1 Okla City,8:00 PM,Paycom Center
