Rank,Hotness Score,Matchup,Time,Location
1,98.2,#24 Michigan St  at  #23 Ohio St,8:00 PM,Value City Arena
2,96.3,#37 Iowa  at  #38 Wisconsin,7:00 PM,Kohl Center
3,96.2,#48 Creighton  at  #12 Marquette,9:00 PM,Fiserv Forum
4,93.1,#57 Nevada  at  #60 New Mexico,11:00 PM,The Pit
4,93.1,#46 Xavier  at  #76 Georgetown,8:00 PM,Capital One Arena
6,82.9,#88 St Josephs  at  #136 Saint Louis,9:00 PM,Chaifetz Arena
7,82.1,#109 Wichita St  at  #125 Temple,7:00 PM,The Liacouras Center
8,55.5,#154 Akron  at  #265 Bowling Grn,6:00 PM,Stroh Center
9,54.5,#247 Quinnipiac  at  #183 St Peters,7:00 PM,Victor R. Yanitelli Recreation Life Center
10,43.5,#225 Marist  at  #277 Iona,7:00 PM,Hynes Athletics Center
11,43.1,#297 Fairfield  at  #198 Merrimack,3:00 PM,Hammel Court
12,35.6,#214 Central Conn  at  #328 St Fran (PA),7:00 PM,DeGol Arena
13,31.8,#285 Manhattan  at  #284 Siena,7:00 PM,MVP Arena
14,15.8,#332 Le Moyne  at  #324 LIU,7:00 PM,Steinberg Wellness Center
15,14.3,#361 Chicago St  at  #296 Wagner,7:00 PM,Spiro Sports Center
16,14.0,#312 Stonehill  at  #353 Mercyhurst,7:00 PM,Owen McCormick Court at the Mercyhurst Athletic
