Team,Over Record,Over %,Under %,Total +/-
Fresno St,70-72-1,49.3%,50.7%,+1.2
Yale,33-34-0,49.3%,50.8%,+1.5
Presbyterian,64-66-0,49.2%,50.8%,+0.9
Oklahoma,63-65-3,49.2%,50.8%,-0.8
N Iowa,62-64-0,49.2%,50.8%,+0.9
Georgia St,59-61-1,49.2%,50.8%,+0.5
Providence,59-61-3,49.2%,50.8%,+0.8
St Francis PA,57-59-2,49.1%,50.9%,+1.9
Houston,26-27-0,49.1%,50.9%,+3.6
Bethune,50-52-2,49.0%,51.0%,+0.5
Georgia,75-78-1,49.0%,51.0%,+0.7
Cincinnati,48-50-1,49.0%,51.0%,-0.5
Murray St,48-50-1,49.0%,51.0%,-0.5
Lindenwood,24-25-1,49.0%,51.0%,-0.5
William & Mary,67-70-2,48.9%,51.1%,+0.4
Austin Peay,67-70-5,48.9%,51.1%,+2.0
Montana St,61-64-0,48.8%,51.2%,-0.5
Morehead St,59-62-2,48.8%,51.2%,+1.2
NW State,57-60-3,48.7%,51.3%,-0.5
SF Austin,38-40-0,48.7%,51.3%,+0.7
The Citadel,87-92-2,48.6%,51.4%,-0.6
Memphis,49-52-0,48.5%,51.5%,+1.5
Kansas City,64-68-0,48.5%,51.5%,-0.3
Miss Valley St,94-100-3,48.5%,51.6%,-0.2
Texas A&M-CC,46-49-0,48.4%,51.6%,-1.3
UCF,61-65-2,48.4%,51.6%,-0.1
Louisiana Tech,45-48-1,48.4%,51.6%,0.0
E Washington,59-63-1,48.4%,51.6%,-0.1
UT Rio Grande,59-63-1,48.4%,51.6%,+0.6
American,56-60-0,48.3%,51.7%,0.0
Monmouth,68-73-0,48.2%,51.8%,+0.1
Arizona,39-42-0,48.2%,51.9%,-0.7
UConn,51-55-0,48.1%,51.9%,+0.1
Saint Louis,63-68-0,48.1%,51.9%,+0.8
Missouri,74-80-2,48.1%,52.0%,0.0
Campbell,49-53-3,48.0%,52.0%,-0.6
St Thomas,24-26-1,48.0%,52.0%,-0.4
Prairie View,58-63-0,47.9%,52.1%,+1.0
S Florida,80-87-1,47.9%,52.1%,+0.1
Albany,57-62-1,47.9%,52.1%,+0.6
N Illinois,78-85-4,47.9%,52.2%,+0.6
Siena,66-72-3,47.8%,52.2%,+0.1
Charlotte,76-83-2,47.8%,52.2%,-0.1
N Arizona,86-94-4,47.8%,52.2%,-0.4
Oklahoma St,71-78-2,47.7%,52.4%,+0.4
Sacramento St,79-87-2,47.6%,52.4%,+0.2
UMBC,48-53-0,47.5%,52.5%,+2.2
Chicago St,85-94-4,47.5%,52.5%,-0.4
UC Riverside,66-73-1,47.5%,52.5%,0.0
N Alabama,47-52-0,47.5%,52.5%,+0.8
Lamar,56-62-2,47.5%,52.5%,-1.4
App State,64-71-3,47.4%,52.6%,-0.2
Charleston So,64-71-2,47.4%,52.6%,0.0
Kennesaw St,62-69-2,47.3%,52.7%,-0.7
Vanderbilt,78-87-2,47.3%,52.7%,+0.2
Tulsa,69-77-0,47.3%,52.7%,-0.4
Ball St,60-67-4,47.2%,52.8%,+0.4
Santa Clara,58-65-2,47.2%,52.9%,-0.5
Kansas,33-37-1,47.1%,52.9%,0.0
Ohio St,57-64-1,47.1%,52.9%,-0.2
St Bonaventure,48-54-1,47.1%,52.9%,-1.3
Fordham,72-81-7,47.1%,52.9%,-0.5
Manhattan,78-88-2,47.0%,53.0%,-0.3
Sacred Heart,54-61-0,47.0%,53.0%,-0.2
N Dakota St,53-60-1,46.9%,53.1%,+1.0
Little Rock,66-75-1,46.8%,53.2%,+1.2
Drexel,73-83-1,46.8%,53.2%,-0.2
Bradley,63-72-1,46.7%,53.3%,+1.1
Rutgers,70-80-2,46.7%,53.3%,-0.2
Old Dominion,61-70-2,46.6%,53.4%,+0.7
Sam Houston,39-45-0,46.4%,53.6%,-1.1
