Rank,Hotness Score,Matchup,Time,Location
1,95.5,#49 Butler  at  #44 Creighton,9:00 PM,CHI Health Center Omaha
2,95.4,#9 Louisville  at  #73 California,9:00 PM,Haas Pavilion
3,93.0,#66 New Mexico  at  #57 Boise St,11:00 PM,ExtraMile Arena
4,91.6,#84 Pittsburgh  at  #38 Miami,7:00 PM,Watsco Center
5,90.6,#63 Notre Dame  at  #87 Stanford,9:00 PM,Maples Pavilion
6,90.2,#103 Florida St  at  #24 North Carolina,7:00 PM,Smith Center
7,88.4,#65 Seton Hall  at  #97 Marquette,7:00 PM,Fiserv Forum
8,88.3,#92 Nevada  at  #82 Colorado St,9:00 PM,Moby Arena
9,84.6,#104 Miami OH  at  #106 Bowling Green,7:00 PM,Stroh Center
10,80.2,#34 Utah St  at  #183 Fresno St,9:00 PM,Save Mart Center
11,78.3,#56 San Diego St  at  #186 San Jose St,10:00 PM,Provident Credit Union Event Center
12,78.1,#93 San Francisco  at  #167 Oregon St,10:00 PM,Gill Coliseum
13,77.2,#154 Washington St  at  #117 Seattle,10:00 PM,Climate Pledge Arena
14,77.1,#158 Pacific  at  #116 Loyola Mymt,10:00 PM,Gersten Pavilion
15,76.8,#134 Duquesne  at  #140 Davidson,7:00 PM,John M. Belk Arena
15,76.8,#198 Milwaukee  at  #45 Wisconsin,7:00 PM,Kohl Center
17,71.7,#2 Gonzaga  at  #241 San Diego,9:30 PM,Jenny Craig Pavilion
18,68.5,#153 Temple  at  #187 Charlotte,7:00 PM,Dale F. Halton Arena
19,64.7,#42 Saint Mary's  at  #274 Pepperdine,9:00 PM,Firestone Fieldhouse
20,63.9,#275 Howard  at  #52 Northwestern,5:00 PM,Welsh-Ryan Arena
21,63.7,#71 Santa Clara  at  #270 Portland,10:00 PM,Chiles Center
22,62.7,#166 UMass  at  #215 E Michigan,7:30 PM,George Gervin GameAbove Center
23,56.1,#322 New Hampshire  at  #31 Nebraska,9:00 PM,Pinnacle Bank Arena
24,54.9,#262 SE Louisiana  at  #159 Incarnate Word,3:00 PM,Alice P. McDermott Convocation Center
25,54.0,#310 Albany  at  #90 South Carolina,6:00 PM,Colonial Life Arena
26,52.6,#191 Vermont  at  #254 Princeton,1:00 PM,Jadwin Gymnasium
27,50.7,#101 Wyoming  at  #323 Air Force,4:00 PM,Clune Arena
28,49.7,#293 W Michigan  at  #160 Toledo,6:30 PM,Savage Arena
29,49.3,#361 S Carolina St  at  #15 Tennessee,8:00 PM,Thompson-Boling Arena at Food City Center
30,41.9,#126 E Tennessee St  at  #354 The Citadel,6:00 PM,McAlister Field House
31,41.5,#184 Ohio  at  #320 C Michigan,3:00 PM,McGuirk Arena
32,35.9,#250 Tennessee St  at  #297 Tenn Tech,8:30 PM,Hooper Eblen Center
33,--,Arkansas Tech  at  #144 Arkansas St,8:00 PM,First National Bank Arena
33,--,Centenary  at  #251 Grambling,1:00 PM,Willis Reed Court at the Fredrick C. Hobdy Center
33,--,Penn St. Brandywine  at  #362 Morgan St,6:00 PM,Talmadge L. Hill Field House
33,--,Fisk  at  #316 Alabama A&M,6:00 PM,AAMU Events Center
33,--,Maine-Fort Kent  at  #335 Maine,2:00 PM,Skip Chappelle Court at Memorial Gym
33,--,Lincoln (CA)  at  #282 Long Beach St,10:00 PM,The Walter Pyramid
33,--,Huston-Tillotson  at  #338 Texas So,7:30 PM,H&PE Arena
