Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Dallas,Charlotte,Charlotte,+4,224.,215,[]
Detroit,Houston,Detroit,+8,224.,203,[]
Minnesota,Memphis,Minnesota,+5,236.,214,[]
Atlanta,New York,New York,-7.5,239.,229,[]
Phoenix,Cleveland,Cleveland,-8,238.5.,210,[]
Boston,Golden State,Boston,-9,224.5.,210,[]
Utah,New Orleans,Utah,+11,230.5.,242,[]
Chicago,L.A. Clippers,Chicago,+6.5,227.5.,211,[]
