Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Boston College,Boston College,1.5,142.5.,146,[],False
Wofford,UNC Greensboro,3.0,137.,134,[],False
IUPUI,Youngstown St.,-5.5,141.,138,[],False
Northern Kentucky,Purdue Fort Wayne,2.5,143.5.,137,[],False
Yale,Yale,-15.5,148.5.,158,[],False
Western Carolina,Furman,-9.0,145.,151,[],False
Pittsburgh,California,13.0,153.,160,[],False
Southern Illinois,Evansville,7.0,139.,121,[],False
DePaul,Connecticut,-11.5,144.,149,[],False
Mercer,Mercer,1.5,154.5.,193,[],False
Tulsa,Rice,2.5,141.5.,134,[],False
Illinois-Chicago,Illinois-Chicago,6.0,128.5.,144,[],False
Clemson,Clemson,-10.5,143.5.,156,[],False
Louisville,Louisville,-1.5,164.5.,153,[],False
Butler,Villanova,1.0,144.,138,[],False
Indiana St.,Indiana St.,3.5,156.5.,179,[],False
Samford,Samford,-20.5,154.,142,[],False
Missouri St.,Valparaiso,5.0,139.5.,145,[],False
Northern Iowa,Northern Iowa,-5.5,154.,146,[],False
