Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Western Michigan,Valparaiso,1.5,153.,149,[],False
Texas A&M,Texas A&M,-30.5,140.5.,122,[],False
Grambling State,Grambling State,7.0,137.,146,[],False
Seattle,Illinois-Chicago,5.5,148.5.,147,[],False
Pennsylvania,Pennsylvania,-4.0,136.5.,145,[],False
Alabama St.,Delaware State,5.5,148.5.,163,[],False
Saint Peter'S,Saint Peter's,-2.5,142.,136,[],False
North Carolina Central,Longwood,-3.5,143.5.,149,[],False
Siena,Holy Cross,5.0,131.5.,148,[],False
Akron,Yale,-4.0,154.,132,[],False
North Texas,Appalachian St.,11.5,123.5.,132,[],False
Providence,Providence,5.5,142.,142 pushed the pre-game total of 142.,[],False
Cincinnati,Cincinnati,-3.5,136.5.,125,[],False
Texas-El Paso,Jackson State,15.0,139.5.,128,[],False
Brigham Young,Brigham Young,-33.5,147.5.,160,[],False
Loyola Marymount,Loyola Marymount,-6.5,137.,162,[],False
