Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
L.A. Lakers,Sacramento,L.A. Lakers,+4,228.5.,202,[]
Miami,Orlando,Orlando,-2,205.,235,[]
Utah,Brooklyn,Utah,+1.5,219.5.,199,[]
Memphis,Atlanta,Memphis,-1.5,232.5.,240,[]
Boston,Chicago,Boston,-12,239.,221,[]
New York,New Orleans,New York,-8,223.5.,197,[]
Golden State,Minnesota,Golden State,+4,218.,216,[]
Philadelphia,Cleveland,Cleveland,-9,221.5.,225,[]
Washington,Milwaukee,Milwaukee,-8.5,218.5.,213,[]
Portland,San Antonio,San Antonio,-6.5,224.5.,208,[]
L.A. Clippers,Dallas,Dallas,-3.5,220.5.,210,[]
Detroit,Phoenix,Detroit,+5.5,225.,258,[]
