Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Florida International,Florida International,-5.5,147.,146,[],False
Princeton,Akron,6.0,155.,151,[],False
Michigan St.,Western Michigan,27.5,148.,142,[],False
Cornell,Siena,12.0,147.5.,160,[],False
Rutgers,Rutgers,-11.5,155.,155 pushed the pre-game total of 155.,[],False
Auburn,Monmouth-NJ,37.0,153.,145,[],False
Kansas State,Kansas State,4.0,139.5.,137,[],False
Iowa,Iowa,-32.5,159.,182,[],False
McNeese St.,McNeese St.,-13.0,134.,130,[],False
South Carolina,Presbyterian,18.0,138.,128,[],False
Missouri,Alabama St.,25.5,155.5.,147,[],False
Arizona,Texas Christian,15.0,146.,171,[],False
Vanderbilt,Vanderbilt,-32.5,159.5.,156,[],False
Arkansas,Arkansas,-16.5,140.,154,[],False
Grand Canyon,Grand Canyon,-14.0,160.,178,[],False
Oklahoma State,Houston,-11.5,137.5.,107,[],False
Nebraska,Nebraska,-22.5,141.5.,120,[],False
Mississippi State,Bethune-Cookman,28.5,146.,160,[],False
Colorado,Iowa State,-9.0,147.,148,[],False
Oregon St.,Portland,17.5,140.5.,168,[],False
Washington St.,Washington St.,-9.0,149.5.,132,[],False
Pepperdine,Pepperdine,20.5,160.5.,171,[],False
Seattle,Nicholls State,10.0,145.5.,140,[],False
San Diego,San Diego,-1.0,144.,140,[],False
California Baptist,UC Irvine,-3.0,143.5.,134,[],False
San Francisco,Santa Clara,4.0,145.5.,191,[],False
