Rank,Hotness Score,Matchup,Time,Location
1,91.4,#6 Denver  at  #12 LA Lakers,10:00 PM,Crypto.com Arena
2,80.3,#2 Cleveland  at  #14 Sacramento,10:00 PM,Golden 1 Center
3,79.6,#7 Houston  at  #18 Orlando,7:00 PM,Kia Center
4,78.7,#15 Dallas  at  #13 Indiana,7:00 PM,Gainbridge Fieldhouse
5,75.1,#8 New York  at  #21 San Antonio,8:00 PM,Frost Bank Center
6,74.2,#16 Detroit  at  #19 Miami,7:30 PM,Kaseya Center
7,73.4,#4 Memphis  at  #24 Portland,10:00 PM,Moda Center
8,67.2,#23 Chicago  at  #17 Phoenix,10:00 PM,PHX Arena
9,56.8,#27 New Orleans  at  #5 Minnesota,8:00 PM,Target Center
10,55.8,#22 Philadelphia  at  #1 Okla City,8:00 PM,Paycom Center
11,43.1,#30 Washington  at  #28 Utah,9:00 PM,Delta Center
