Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Arkansas-Pine Bluff,Prairie View A&M,-2.5,166.,139,[],False
Rutgers,Rutgers,4.0,138.,143,[],False
Maryland,Minnesota,15.0,138.,148,[],False
Furman,Wofford,7.0,139.5.,143,[],False
Mississippi Valley State,Texas Southern,-17.0,137.,135,[],False
Alcorn St.,Alcorn St.,4.0,143.,132,[],False
Loyola (MD),American U.,1.5,135.,127,[],False
Notre Dame,Notre Dame,-11.0,140.,138,[],False
Southern,Southern,-6.5,137.5.,122,[],False
Stephen F. Austin,Southeastern Louisiana,5.5,133.5.,125,[],False
North Carolina Central,Delaware State,6.0,148.,147,[],False
Morgan St.,Morgan St.,9.5,154.5.,152,[],False
Texas Rio Grande Valley,Texas A&M Commerce,12.5,149.5.,112,[],False
Howard,Howard,-13.0,147.5.,165,[],False
Incarnate Word,Nicholls State,1.5,143.,170,[],False
Jackson State,Jackson State,-8.0,143.5.,196,[],False
Lamar,New Orleans,12.5,147.5.,130,[],False
Texas A&M-CC,Texas A&M-CC,-8.5,144.,137,[],False
Houston Christian,McNeese St.,-14.5,139.,134,[],False
Grambling State,Florida A&M,7.5,135.,151,[],False
Elon University,Elon University,-7.5,138.,149,[],False
