Rank,Hotness Score,Matchup,Time,Location
1,95.9,#56 VCU  at  #15 NC State,7:00 PM,Lenovo Center
2,87.3,#112 Oregon St  at  #62 Oregon,10:00 PM,Matthew Knight Arena
3,84.7,#131 Tulsa  at  #63 Kansas St,8:00 PM,Bramlage Coliseum
4,84.4,#152 Rice  at  #19 Tennessee,8:30 PM,Thompson-Boling Arena at Food City Center
5,82.1,#167 SIU Edward  at  #25 Wisconsin,8:00 PM,Kohl Center
6,80.6,#99 Loyola Mymt  at  #145 UCSB,9:00 PM,The Thunderdome
7,77.9,#177 Oakland  at  #73 UCF,7:00 PM,Addition Financial Arena
8,76.8,#137 S Illinois  at  #141 N Dakota St,8:00 PM,Scheels Center
9,69.4,#166 Drake  at  #170 Charleston,7:00 PM,TD Arena
10,68.0,#256 N Alabama  at  #30 Clemson,9:00 PM,Littlejohn Coliseum
11,66.2,#247 Bucknell  at  #80 Pittsburgh,7:00 PM,Petersen Events Center
12,65.7,#182 Colgate  at  #174 Siena,7:00 PM,MVP Arena
13,63.2,#290 S Utah  at  #2 Gonzaga,9:00 PM,McCarthey Athletic Center
14,61.5,#275 Alabama St  at  #90 Colorado,9:00 PM,CU Events Center
15,56.5,#325 Stonehill  at  #9 Iowa St,8:00 PM,James H. Hilton Coliseum
16,54.8,#306 Georgia St  at  #86 Arizona St,9:00 PM,Desert Financial Arena
17,53.5,#242 CS Bakersfield  at  #195 Portland St,10:00 PM,Viking Pavilion
18,51.3,#168 Saint Joseph's  at  #279 Penn,7:00 PM,The Palestra
19,50.6,#336 Lafayette  at  #68 West Virginia,7:00 PM,WVU Coliseum
20,50.4,#352 Prairie View  at  #28 Missouri,8:00 PM,Mizzou Arena
21,50.1,#357 Florida A&M  at  #14 Georgia,6:30 PM,Stegeman Coliseum
22,48.0,#342 Canisius  at  #92 High Point,7:00 PM,Nido and Mariana Qubein Arena
23,28.5,#230 Lamar  at  #348 UL Monroe,7:30 PM,Fant-Ewing Coliseum
24,23.6,#307 W Georgia  at  #302 Tenn Tech,7:00 PM,Hooper Eblen Center
25,19.4,#310 Niagara  at  #330 Le Moyne,7:00 PM,Ted Grant Court
26,--,Bethesda University  at  #169 San Jose St,10:00 PM,Provident Credit Union Event Center
26,--,Angelo State  at  #243 Tarleton St,8:00 PM,Wisdom Gym
26,--,Coe College  at  #313 W Illinois,8:30 PM,LeRoy A. Ufkes Court at Western Hall
26,--,Peru State  at  #151 S Dakota St,8:00 PM,First Bank & Trust Arena
26,--,Piedmont International  at  #87 Liberty,7:00 PM,Liberty Arena
26,--,SW Adventist  at  #179 UT Rio Grande,7:30 PM,UTRGV Fieldhouse
26,--,Rhodes  at  #108 UAB,7:30 PM,Bartow Arena
26,--,Coastal Georgia  at  #139 Florida Atlantic,7:00 PM,Abessinio Court at Eleanor R. Baldwin Arena
26,--,Eastern Oregon  at  #207 E Washington,10:30 PM,Reese Court
