Rank,Hotness Score,Matchup,Time,Location
1,94.1,#2 Cleveland  at  #5 New York,7:00 PM,Madison Square Garden
2,77.9,#21 Miami  at  #9 Orlando,7:00 PM,Kia Center
3,77.6,#13 San Antonio  at  #16 Dallas,9:30 PM,American Airlines Center
4,75.3,#19 Toronto  at  #11 Atlanta,7:30 PM,State Farm Arena
5,72.1,#12 Detroit  at  #25 Chicago,8:00 PM,United Center
6,71.9,#7 Minnesota  at  #23 Portland,10:00 PM,Moda Center
7,63.9,#22 Sacramento  at  #24 Phoenix,10:00 PM,Mortgage Matchup Center
8,54.9,#8 LA Clippers  at  #29 Utah,9:00 PM,Delta Center
9,53.0,#17 Philadelphia  at  #18 Boston,7:30 PM,TD Garden
10,52.5,#28 Brooklyn  at  #27 Charlotte,7:00 PM,Spectrum Center
11,51.9,#26 New Orleans  at  #15 Memphis,8:00 PM,FedExForum
12,41.7,#30 Washington  at  #14 Milwaukee,8:00 PM,Fiserv Forum
