Rank,Hotness Score,Matchup,Time,Location
1,78.8,#182 Incarnate Word  at  #47 TCU,8:00 PM,Schollmaier Arena
2,77.7,#92 Wyoming  vs.  #166 S Dakota St,8:00 PM,Sanford Sports Pentagon
3,57.7,#68 McNeese  at  #303 Hou Christian,8:00 PM,Sharp Gym
4,48.6,#356 Niagara  at  #44 VCU,7:00 PM,Siegel Center
5,37.2,#276 E Texas A&M  at  #266 SE Louisiana,7:00 PM,Pride Roofing University Center
6,35.9,#222 N Alabama  at  #320 Alabama A&M,8:00 PM,AAMU Events Center
7,21.6,#255 Wofford  at  #363 Gardner-Webb,7:00 PM,Paul Porter Arena
8,--,Bryan  at  #246 Samford,1:00 PM,Pete Hanna Center
8,--,Ecclesia College  at  #355 AR-Pine Bluff,7:00 PM,H.O. Clemmons Arena (K. L. Johnson Complex)
8,--,Rhodes  at  #347 Stetson,7:00 PM,Insight Credit Union Arena at Edmunds Center
8,--,Campbellsville  at  #146 W Kentucky,7:30 PM,E.A. Diddle Arena
8,--,Minnesota-Crookston  at  #142 N Dakota St,8:00 PM,Scheels Center
8,--,East-West University  at  #317 S Indiana,8:00 PM,"Liberty Arena, Home of the Screaming Eagles"
