Rank,Hotness Score,Matchup,Time,Location
1,96.6,#5 Houston  at  #2 Boston,7:30 PM,TD Garden
2,94.5,#4 Memphis  at  #7 New York,7:30 PM,Madison Square Garden
3,78.8,#10 LA Clippers  at  #18 Phoenix,9:30 PM,Footprint Center
4,77.4,#16 Orlando  at  #15 Miami,7:30 PM,Kaseya Center
5,70.3,#22 Atlanta  at  #9 Minnesota,8:00 PM,Target Center
6,69.6,#6 Denver  at  #23 Chicago,8:00 PM,United Center
7,69.1,#20 Detroit  at  #3 Cleveland,7:00 PM,Rocket Mortgage FieldHouse
8,60.9,#17 LA Lakers  at  #25 Charlotte,7:00 PM,Spectrum Center
9,60.2,#12 Sacramento  at  #29 Brooklyn,7:30 PM,Barclays Center
10,60.1,#11 Milwaukee  at  #27 Utah,9:00 PM,Delta Center
11,52.1,#26 New Orleans  at  #24 Toronto,7:30 PM,Scotiabank Arena
12,44.0,#30 Washington  at  #8 Dallas,8:30 PM,American Airlines Center
