Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Detroit,Cleveland,Cleveland,-10.5,236.,201,[]
Sacramento,Brooklyn,Sacramento,-12,228.,206,[]
Houston,Boston,Houston,+5.5,221.,226,[]
Memphis,New York,New York,-3.5,242.5.,249,[]
New Orleans,Toronto,Toronto,-1,232.5.,217,[]
Orlando,Miami,Miami,-1,206.,244,[]
Denver,Chicago,Chicago,+9.5,247.,250,[]
Atlanta,Minnesota,Atlanta,+10.5,217.,192,[]
Washington,Dallas,Dallas,-13,231.5.,238,[]
Milwaukee,Utah,Milwaukee,-8.5,239.5.,235,[]
L.A. Clippers,Phoenix,Phoenix,+1,225.,220,[]
