Team,ATS Record,Cover %,MOV,ATS +/-
High Point,66-62-1,51.6%,1.6,-0.6
Portland,86-81-2,51.5%,-3.2,-0.3
North Texas,86-81-4,51.5%,1.5,+0.7
Navy,87-82-2,51.5%,-0.3,+0.6
Montana,73-69-0,51.4%,4.3,+0.7
CS Fullerton,92-87-3,51.4%,1.0,+0.3
Houston,241-228-8,51.4%,4.4,+1.0
F Dickinson,39-37-0,51.3%,-2.6,+0.1
UCF,176-167-6,51.3%,2.3,+0.5
Lafayette,80-76-2,51.3%,-2.2,-0.3
Marquette,240-228-10,51.3%,4.5,+0.3
Stony Brook,63-60-6,51.2%,0.2,-1.1
Clemson,237-226-8,51.2%,2.9,+0.2
UNLV,221-211-7,51.2%,4.3,+0.1
Monmouth,66-63-3,51.2%,-2.8,+0.1
Michigan,253-242-7,51.1%,3.3,+0.2
Stanford,143-137-6,51.1%,4.2,+0.4
Texas,221-212-6,51.0%,7.1,+0.6
St Josephs,249-239-13,51.0%,1.7,+0.5
Penn St,256-246-11,51.0%,-1.9,+0.2
St Bonavent,256-246-12,51.0%,-0.1,-0.1
Wofford,131-126-4,51.0%,2.3,-0.1
N Iowa,262-252-9,51.0%,2.3,-0.1
N Colorado,54-52-4,50.9%,1.0,+0.1
Campbell,55-53-2,50.9%,-1.6,+0.3
Baylor,224-216-10,50.9%,2.5,+0.4
Youngs St,114-110-10,50.9%,-0.3,+0.2
Buffalo,250-242-6,50.8%,1.0,+0.6
Maryland BC,65-63-1,50.8%,-2.9,+0.2
Georgia,271-263-4,50.8%,-0.9,+0.1
TX Southern,35-34-2,50.7%,-7.4,-0.3
TX-Pan Am,35-34-1,50.7%,-3.5,+0.1
Oklahoma St,222-216-10,50.7%,4.9,+0.6
Miami,230-224-16,50.7%,2.7,-0.1
UCLA,138-135-3,50.6%,7.4,+0.5
Cincinnati,233-228-13,50.5%,8.0,+0.7
NC-Grnsboro,153-150-5,50.5%,0.9,+0.6
N Kentucky,51-50-1,50.5%,4.9,+1.4
App State,103-101-3,50.5%,1.1,+0.2
Georgia St,110-108-5,50.5%,0.6,+0.1
South Dakota,62-61-2,50.4%,3.0,-0.2
Boston Col,244-240-14,50.4%,-1.4,-0.2
Chattanooga,123-121-6,50.4%,3.5,-0.2
Loyola-Chi,189-186-6,50.4%,1.1,-0.2
Northwestern,249-245-13,50.4%,-1.5,+0.1
Richmond,261-257-15,50.4%,1.7,+0.3
Valparaiso,132-130-6,50.4%,0.4,-0.6
Connecticut,222-219-6,50.3%,8.0,0.0
SE Missouri,85-84-8,50.3%,-0.3,+0.1
S Illinois,264-261-14,50.3%,1.3,-0.1
E Tenn St,95-94-5,50.3%,4.5,+0.4
Oklahoma,213-211-7,50.2%,5.0,+0.5
Wyoming,209-207-5,50.2%,-0.4,-0.2
Lg Beach St,109-108-4,50.2%,-2.1,-0.2
Providence,246-244-6,50.2%,1.7,+0.3
Wisconsin,262-260-13,50.2%,6.4,+0.4
Fresno St,193-192-8,50.1%,1.4,0.0
Virginia,218-217-10,50.1%,3.8,-0.6
Florida,258-257-8,50.1%,8.4,+0.5
Drake,239-238-10,50.1%,-0.3,0.0
Miami (OH),259-258-13,50.1%,0.2,+0.3
Wagner,43-43-2,50.0%,0.4,0.0
NC A&T,42-42-1,50.0%,-5.2,+0.1
Austin Peay,90-90-8,50.0%,-0.7,0.0
NJIT,57-57-0,50.0%,-4.2,-0.8
Florida Intl,88-88-2,50.0%,-1.2,0.0
NW State,44-44-1,50.0%,-3.1,+0.3
New Orleans,85-85-2,50.0%,-1.5,-0.4
Central Ark,50-50-3,50.0%,-4.5,-0.7
Columbia,38-38-2,50.0%,0.8,+0.3
Bucknell,91-91-1,50.0%,2.3,-0.4
Butler,190-190-10,50.0%,4.3,+0.3
Ohio St,268-268-10,50.0%,6.3,+0.2
Le Moyne,8-8-0,50.0%,-4.3,+1.4
Denver,111-111-7,50.0%,-1.1,-0.1
S Florida,233-233-10,50.0%,-2.5,-0.6
Longwood,50-50-1,50.0%,-3.7,+1.1
Dayton,253-253-10,50.0%,5.2,+0.1
Illinois,241-242-17,49.9%,5.1,+0.5
Pittsburgh,232-233-11,49.9%,4.5,+0.1
