Team,ATS Record,Cover %,MOV,ATS +/-
Texas A&M,104-97-1,51.7%,4.9,+0.5
NC-Grnsboro,104-97-5,51.7%,5.5,+0.9
Oregon St,75-70-3,51.7%,2.2,+0.8
NJIT,45-42-4,51.7%,-1.7,-1.4
St Josephs,76-71-1,51.7%,0.1,0.0
Prairie View,49-46-4,51.6%,3.3,+0.9
Tarleton St,33-31-1,51.6%,3.7,+1.5
W Carolina,68-64-1,51.5%,-2.4,+0.1
California,68-64-4,51.5%,-0.1,-0.4
Temple,89-84-3,51.5%,0.2,+0.2
Texas Tech,109-103-2,51.4%,9.8,+1.6
Buffalo,95-90-5,51.4%,5.4,+1.1
Rider,78-74-3,51.3%,1.5,+0.8
TX El Paso,78-74-4,51.3%,0.9,-0.8
N Mex State,81-77-1,51.3%,8.7,+0.7
Stony Brook,63-60-4,51.2%,1.9,-0.9
Iowa,106-101-6,51.2%,6.5,+0.7
Stanford,85-81-6,51.2%,2.1,+0.3
VMI,43-41-5,51.2%,-3.8,+0.2
Purdue,130-124-7,51.2%,9.5,+0.9
Gonzaga,159-152-8,51.1%,17.3,+1.2
McNeese St,47-45-3,51.1%,2.5,+0.5
VA Tech,94-90-1,51.1%,5.8,+0.1
Arkansas St,74-71-1,51.0%,-0.6,+0.2
Seattle,76-73-1,51.0%,2.3,+0.1
Bowling Grn,78-75-2,51.0%,1.9,-0.7
Lg Beach St,78-75-4,51.0%,-1.6,-0.5
GA Southern,79-76-3,51.0%,2.4,+0.3
Arizona,133-128-8,51.0%,11.4,+0.7
LIU,29-28-0,50.9%,-1.9,+0.6
Butler,95-92-3,50.8%,4.0,+0.5
Manhattan,64-62-1,50.8%,-4.6,-0.9
Alab A&M,33-32-1,50.8%,-1.7,+0.2
N Carolina,132-128-6,50.8%,8.5,+0.4
Coastal Car,68-66-4,50.8%,2.0,-0.4
Murray St,105-102-5,50.7%,7.2,+0.4
Boise St,108-105-4,50.7%,6.4,+0.9
USC,110-107-0,50.7%,4.6,-0.2
Charl South,37-36-3,50.7%,-0.5,+0.7
Cleveland St,77-75-5,50.7%,0.7,+0.1
Tennessee,115-112-3,50.7%,8.0,+0.9
E Kentucky,78-76-3,50.7%,1.3,-0.5
Saint Louis,84-82-1,50.6%,1.5,-0.6
Alcorn St,43-42-2,50.6%,0.9,+0.2
Duke,139-136-6,50.6%,11.5,-0.3
W Kentucky,98-96-3,50.5%,3.1,-0.7
E Tenn St,99-97-3,50.5%,5.2,+0.5
Illinois,100-98-4,50.5%,6.0,+0.6
Wichita St,109-107-7,50.5%,8.2,+0.2
Idaho,57-56-4,50.4%,-1.2,+0.7
SE Missouri,58-57-4,50.4%,-2.0,+0.8
E Illinois,63-62-0,50.4%,-2.1,+0.3
AR Lit Rock,71-70-1,50.4%,2.5,+0.8
Texas St,82-81-8,50.3%,2.9,+0.8
S Illinois,81-80-6,50.3%,1.0,-0.1
Northwestern,84-83-3,50.3%,3.7,+0.2
Chattanooga,93-92-3,50.3%,4.0,-0.1
Fresno St,83-83-2,50.0%,1.4,-0.2
Col Charlestn,100-100-6,50.0%,4.9,+0.1
Central Conn,38-38-1,50.0%,-2.7,-1.4
Louisiana,88-88-6,50.0%,3.4,-0.7
San Jose St,43-43-0,50.0%,-4.1,+0.2
Mercer,80-80-4,50.0%,0.0,-0.9
WI-Grn Bay,73-73-0,50.0%,0.1,-0.3
Miss Val St,12-12-0,50.0%,-11.9,-2.8
Richmond,90-90-4,50.0%,2.1,0.0
St Johns,86-86-5,50.0%,3.2,-0.5
Bucknell,55-55-1,50.0%,2.4,-0.2
Wm & Mary,72-72-1,50.0%,-0.6,-0.7
Mississippi,91-91-2,50.0%,2.6,-1.4
Stetson,49-49-2,50.0%,-3.9,0.0
UC Riverside,69-69-4,50.0%,-1.4,-0.3
San Diego St,122-123-5,49.8%,7.1,0.0
Memphis,104-105-4,49.8%,4.9,+0.3
Iona,98-99-3,49.8%,4.5,+0.1
Georgia St,89-90-4,49.7%,2.7,-1.1
Youngs St,73-74-1,49.7%,0.6,-0.8
Portland St,68-69-4,49.6%,2.6,-0.6
Detroit,54-55-1,49.5%,-1.1,-0.1
Wright St,101-103-2,49.5%,5.2,+0.8
American,47-48-1,49.5%,-0.9,+0.6
IU Indy,46-47-2,49.5%,-4.3,-0.4
N Kentucky,87-89-2,49.4%,3.5,+0.2
New Mexico,84-86-2,49.4%,3.5,+0.3
Citadel,42-43-2,49.4%,-1.0,-1.8
Tulsa,79-81-0,49.4%,2.1,+0.1
TX-Pan Am,39-40-2,49.4%,-1.9,-0.5
Fla Atlantic,78-80-2,49.4%,5.3,+1.2
GA Tech,74-76-4,49.3%,-0.3,+0.1
App State,72-74-4,49.3%,1.4,-0.3
BYU,108-111-6,49.3%,7.8,+0.3
Quinnipiac,70-72-3,49.3%,1.1,+0.3
Kansas,139-143-3,49.3%,8.8,-0.5
Akron,101-104-5,49.3%,6.0,+1.0
Drexel,64-66-4,49.2%,-0.8,-0.2
Brown,55-57-0,49.1%,-1.0,+0.4
Bryant,54-56-2,49.1%,1.0,+0.8
Coppin St,27-28-2,49.1%,-5.4,-1.6
UAB,104-108-6,49.1%,5.4,-0.7
SE Louisiana,48-50-1,49.0%,-1.7,-0.6
