Rank,Hotness Score,Matchup,Time,Location
1,99.5,#17 Texas Tech  at  #1 Illinois,8:30 PM,State Farm Center
2,99.4,#10 Kentucky  at  #5 Louisville,8:00 PM,KFC Yum! Center
3,97.4,#35 Creighton  at  #4 Gonzaga,10:00 PM,McCarthey Athletic Center
4,94.3,#6 Michigan  vs.  #82 Wake Forest,6:30 PM,Little Caesars Arena
5,94.2,#73 Florida St  at  #13 Florida,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center
6,93.6,#72 Memphis  at  #36 Mississippi,9:00 PM,The Sandy and John Black Pavilion at Ole Miss
7,92.8,#71 Dayton  at  #50 Cincinnati,7:00 PM,Fifth Third Arena
8,87.5,#113 Murray St  at  #56 SMU,8:00 PM,Moody Coliseum
9,84.3,#142 Ohio  at  #43 Saint Mary's,10:00 PM,University Credit Union Pavilion
10,81.4,#173 Radford  at  #22 North Carolina,7:00 PM,Smith Center
11,80.7,#163 UT Rio Grande  at  #59 Boise St,9:00 PM,ExtraMile Arena
12,78.8,#114 Loyola Mymt  at  #147 UTEP,9:00 PM,Don Haskins Center
13,78.1,#195 App State  at  #28 Ohio St,6:30 PM,Value City Arena
14,77.6,#146 SF Austin  at  #125 Rice,8:00 PM,Tudor Fieldhouse
15,76.2,#65 Yale  at  #197 Quinnipiac,7:30 PM,M&T Bank Arena
16,75.8,#152 La Salle  at  #132 Temple,7:00 PM,The Liacouras Center
17,75.6,#131 Davidson  at  #156 Charlotte,7:00 PM,Dale F. Halton Arena
18,74.5,#211 Hampton  at  #52 Virginia,9:00 PM,John Paul Jones Arena
19,73.3,#226 Wofford  at  #29 Auburn,8:00 PM,Neville Arena
20,73.2,#230 Texas A&M-CC  at  #21 Kansas,8:00 PM,Allen Fieldhouse
21,72.3,#213 Navy  at  #75 Penn St,6:30 PM,Bryce Jordan Center
22,72.2,#229 Sacred Heart  at  #42 Villanova,7:00 PM,William B. Finneran Pavilion
23,71.8,#235 Ball St  at  #27 Wisconsin,8:30 PM,Kohl Center
24,71.4,#209 Montana  at  #99 UNLV,10:00 PM,Thomas & Mack Center
25,69.9,#221 Jacksonville  at  #83 High Point,7:00 PM,Nido and Mariana Qubein Arena
26,68.5,#190 William & Mary  at  #148 Richmond,7:00 PM,Robins Center
27,67.7,#174 Austin Peay  at  #171 Wyoming,8:30 PM,Arena-Auditorium
28,66.8,#245 UC Riverside  at  #78 New Mexico,9:00 PM,The Pit
29,65.7,#274 N Arizona  at  #15 Arizona,9:00 PM,McKale Memorial Center
30,65.1,#210 Toledo  at  #151 Wright St,7:00 PM,Wright State University Nutter Center
31,64.1,#266 Penn  at  #70 Providence,7:00 PM,Amica Mutual Pavilion
32,63.9,#186 Arkansas St  at  #188 Missouri St,8:00 PM,Great Southern Bank Arena
33,62.2,#295 Delaware  at  #12 BYU,9:00 PM,Marriott Center
