Rank,Hotness Score,Matchup,Time,Location
1,93.1,#6 Denver  at  #9 Golden State,10:00 PM,Chase Center
2,87.3,#4 Memphis  at  #14 Sacramento,10:00 PM,Golden 1 Center
3,84.3,#13 Indiana  at  #5 Minnesota,8:00 PM,Target Center
4,76.4,#17 Miami  at  #8 New York,7:30 PM,Madison Square Garden
5,69.6,#20 San Antonio  at  #12 LA Lakers,10:30 PM,Crypto.com Arena
6,65.3,#22 Philadelphia  at  #7 Houston,8:00 PM,Toyota Center
7,62.9,#25 Toronto  at  #19 Phoenix,10:00 PM,PHX Arena
8,59.6,#16 Detroit  at  #26 New Orleans,8:00 PM,Smoothie King Center
9,54.2,#24 Chicago  at  #28 Utah,9:00 PM,Delta Center
10,42.0,#30 Washington  at  #23 Portland,10:00 PM,Moda Center
