Team,ATS Record,Cover %,MOV,ATS +/-
Utah St,96-89-5,51.9%,6.8,+0.9
Cornell,28-26-0,51.9%,1.8,+1.5
South Dakota,56-52-2,51.9%,3.3,-0.5
Bradley,116-108-5,51.8%,2.4,+1.1
NJIT,58-54-0,51.8%,-5.0,-0.8
N Alabama,45-42-1,51.7%,2.9,+0.1
Florida St,95-89-6,51.6%,2.0,-0.8
Memphis,95-89-2,51.6%,6.7,+1.1
California,82-77-1,51.6%,-1.5,-0.4
Quinnipiac,50-47-2,51.6%,1.3,+0.6
Mississippi St,118-111-3,51.5%,2.8,+0.1
Northeastern,34-32-0,51.5%,2.1,+2.3
UNLV,107-101-4,51.4%,3.4,+0.6
Valparaiso,92-87-5,51.4%,-2.3,-0.4
Oklahoma St,93-88-5,51.4%,1.1,+0.8
Illinois,98-93-7,51.3%,4.4,+0.6
Buffalo,100-95-4,51.3%,2.6,+0.7
Saint Joseph's,101-96-6,51.3%,-0.4,+0.3
UMBC,61-58-1,51.3%,0.7,+0.5
American,83-79-2,51.2%,-1.7,+0.1
Prairie View,21-20-2,51.2%,-7.5,+0.2
Utah,63-60-4,51.2%,6.8,+1.6
Miss Valley St,22-21-0,51.2%,-23.3,-2.0
Texas A&M-CC,44-42-0,51.2%,2.5,+1.9
Stetson,45-43-4,51.1%,-5.7,-1.1
Florida Atlantic,46-44-3,51.1%,4.1,+0.9
Tennessee,116-111-2,51.1%,8.1,+0.9
C Michigan,97-93-8,51.1%,-0.9,+0.1
Davidson,98-94-2,51.0%,4.9,+0.9
Michigan,102-98-2,51.0%,6.1,+0.4
S Dakota St,51-49-0,51.0%,5.5,+0.7
Marshall,52-50-2,51.0%,1.8,+0.1
Richmond,108-104-4,50.9%,1.8,+0.7
San Diego St,85-82-9,50.9%,7.7,+0.5
West Virginia,88-85-2,50.9%,6.1,+0.3
Tulsa,89-86-6,50.9%,-0.5,+0.1
New Mexico St,31-30-3,50.8%,5.9,+1.5
S Carolina St,33-32-1,50.8%,-11.1,+0.6
N Colorado,33-32-2,50.8%,4.5,-0.2
Iowa,102-99-6,50.8%,5.0,+0.7
Princeton,36-35-0,50.7%,4.0,0.0
Saint Louis,110-107-1,50.7%,0.9,-0.2
Stanford,74-72-2,50.7%,1.3,0.0
