Team,ATS Record,Cover %,MOV,ATS +/-
Boston,152-109-5,58.2%,-1.9,+2.9
Okla City,209-178-10,54.0%,-5.7,+0.4
Miami,215-188-6,53.4%,-3.7,+1.6
Denver,183-167-8,52.3%,-4.2,+1.2
Brooklyn,275-253-12,52.1%,-5.9,+0.6
Dallas,225-207-9,52.1%,-4.1,+1.3
Sacramento,262-242-16,52.0%,-5.8,+0.4
Indiana,225-209-9,51.8%,-4.2,+1.1
Utah,187-176-7,51.5%,-5.1,+0.7
Toronto,178-168-10,51.5%,-4.3,+0.8
New Orleans,241-235-7,50.6%,-4.5,+1.1
Philadelphia,219-216-8,50.3%,-6.9,+0.3
Memphis,230-228-5,50.2%,-5.5,+0.7
Golden State,118-117-2,50.2%,-5.3,-0.1
San Antonio,201-203-8,49.8%,-6.6,-0.2
Orlando,297-306-11,49.3%,-6.7,-0.1
Detroit,280-289-19,49.2%,-6.7,+0.3
LA Clippers,153-158-1,49.2%,-4.7,+0.5
Atlanta,226-236-3,48.9%,-5.3,+0.5
Minnesota,232-243-7,48.8%,-5.8,+0.4
Washington,245-258-12,48.7%,-6.4,+0.1
New York,263-281-11,48.4%,-6.3,+0.3
Chicago,247-265-9,48.2%,-5.8,-0.1
LA Lakers,239-257-6,48.2%,-6.5,+0.3
Phoenix,217-235-5,48.0%,-7.2,-0.5
Houston,190-210-7,47.5%,-6.7,-0.1
Charlotte,245-272-16,47.4%,-7.0,-0.5
Cleveland,178-201-6,47.0%,-6.9,-0.3
Portland,216-245-10,46.9%,-7.5,-0.8
Milwaukee,132-157-3,45.7%,-5.5,-0.6
