Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Arkansas-Pine Bluff,Arkansas-Pine Bluff,10.0,157.5.,137,[],False
Eastern Michigan,Kent St.,-8.0,142.,119,[],False
St. John'S,St. John's,-2.5,147.,134,[],False
Murray St.,Drake,-4.5,123.5.,100,[],False
Dayton,Davidson,9.5,140.5.,132,[],False
Bowling Green,Bowling Green,-6.5,145.5.,161,[],False
Akron,Ball St.,13.0,155.5.,154,[],False
Iowa,Purdue,-6.5,156.,171,[],False
VCU,VCU,-19.5,143.5.,162,[],False
Mississippi,Mississippi,-5.0,159.,182,[],False
Central Michigan,Miami (OH),1.5,144.5.,146,[],False
Penn St.,Minnesota,6.5,140.5.,130,[],False
Ohio,Ohio,-10.5,153.,163,[],False
Florida,Florida,-10.0,155.,161,[],False
Florida State,Florida State,-3.0,141.5.,127,[],False
Toledo,Toledo,-12.5,163.5.,161,[],False
Massachusetts,Saint Louis,-1.0,152.5.,144,[],False
Charlotte,Wichita St.,-2.0,143.5.,124,[],False
Houston,Oklahoma State,21.5,130.,135,[],False
SIU Edwardsville,SIU Edwardsville,-6.5,132.5.,107,[],False
Wyoming,Wyoming,9.5,138.5.,138,[],False
Xavier,Georgetown,8.5,140.5.,143,[],False
Air Force,Nevada,-10.0,130.5.,134,[],False
Clemson,Georgia Tech,12.0,140.,175,[],False
Loyola-Chicago,Loyola-Chicago,-3.5,134.,130,[],False
Northwestern,Southern California,3.5,138.,152,[],False
Wisconsin,Wisconsin,-8.5,151.5.,140,[],False
Auburn,Auburn,-17.0,153.5.,168,[],False
Texas Tech,Texas Tech,-8.0,142.5.,132,[],False
Arizona State,Kansas State,3.0,140.5.,141,[],False
UNLV,Boise St.,-3.0,141.,133,[],False
Brigham Young,Arizona,3.0,154.,159,[],False
