Team,ATS Record,Cover %,MOV,ATS +/-
N Iowa,80-72-4,52.6%,1.8,+0.5
S Illinois,91-82-2,52.6%,2.7,+0.2
Georgia Tech,122-110-1,52.6%,1.5,+0.1
E Washington,71-64-0,52.6%,-3.4,+1.0
Montana St,71-64-6,52.6%,-3.5,-0.9
Creighton,103-93-3,52.6%,7.0,+1.0
N Alabama,21-19-1,52.5%,-7.5,+0.4
UAB,85-77-3,52.5%,5.4,+0.7
N Kentucky,32-29-0,52.5%,1.9,+2.5
Wichita St,107-97-5,52.5%,5.6,+0.9
UNLV,107-97-1,52.5%,4.1,+0.6
Kansas St,98-89-1,52.4%,3.3,+1.0
Temple,132-120-3,52.4%,3.1,+0.4
S Alabama,77-70-1,52.4%,0.1,+0.1
Denver,100-91-6,52.4%,-3.8,-0.2
Nebraska,112-102-4,52.3%,0.8,+0.3
W Kentucky,91-83-3,52.3%,3.7,+0.9
Coastal Car,23-21-2,52.3%,-2.1,+0.2
Ohio St,130-119-4,52.2%,8.4,+1.2
Duke,154-141-7,52.2%,14.6,+0.2
Oklahoma St,108-99-4,52.2%,5.5,+0.8
Illinois Chicago,87-80-4,52.1%,-2.4,-0.7
Clemson,103-95-5,52.0%,4.6,+0.1
Lehigh,26-24-0,52.0%,-1.6,+1.4
South Carolina,105-97-4,52.0%,1.9,+0.7
W Michigan,83-77-7,51.9%,-0.1,+0.8
Bowling Green,83-77-2,51.9%,0.3,+0.7
UMBC,28-26-0,51.9%,-4.6,+0.7
Louisiana Tech,71-66-1,51.8%,2.1,-0.6
Long Beach St,87-81-2,51.8%,-5.0,-0.2
Mt St Mary's,30-28-0,51.7%,-5.1,-0.2
The Citadel,60-56-1,51.7%,-10.8,-0.8
Maryland,121-113-7,51.7%,8.4,+0.1
Colorado,106-99-4,51.7%,4.0,+1.4
George Mason,97-91-1,51.6%,2.2,+0.5
N Texas,65-61-3,51.6%,0.4,+1.0
Northwestern,116-109-6,51.6%,0.5,+0.5
Montana,70-66-0,51.5%,0.3,-0.4
Kentucky,105-99-7,51.5%,10.8,+0.7
Loyola MD,73-69-2,51.4%,-5.1,-0.1
Akron,77-73-1,51.3%,4.1,+0.7
Dartmouth,39-37-3,51.3%,-5.6,+0.4
UC Irvine,80-76-4,51.3%,0.2,+0.5
W Carolina,62-59-6,51.2%,-5.0,+0.4
Illinois St,84-80-3,51.2%,2.6,+0.3
Alabama,86-82-4,51.2%,6.4,+0.5
NC Asheville,22-21-0,51.2%,-4.6,-1.6
Washington,92-88-3,51.1%,4.1,+0.2
CS Bakersfield,24-23-2,51.1%,-4.3,+1.2
Texas Tech,98-94-1,51.0%,4.9,0.0
Morehead St,74-71-0,51.0%,-2.8,0.0
Loyola Mymt,77-74-6,51.0%,-3.4,0.0
Towson,52-50-2,51.0%,-3.4,+0.5
Nevada,80-77-3,51.0%,3.6,+1.5
North Carolina,141-136-2,50.9%,10.7,+0.6
New Orleans,62-60-2,50.8%,-6.0,-0.4
Notre Dame,124-120-6,50.8%,5.0,-0.2
Wyoming,94-91-2,50.8%,0.9,-0.2
UTEP,63-61-3,50.8%,2.9,+0.1
Tulsa,96-93-3,50.8%,3.7,+0.1
High Point,33-32-2,50.8%,-1.9,-0.2
UC Riverside,67-65-6,50.8%,-6.0,-0.3
Michigan,135-131-2,50.8%,3.9,+0.1
Chattanooga,74-72-1,50.7%,-0.7,0.0
Virginia Tech,111-108-3,50.7%,2.5,+0.7
Washington St,78-76-2,50.7%,0.3,+0.2
Evansville,83-81-6,50.6%,-2.9,-0.8
Illinois,126-123-6,50.6%,4.6,+0.1
N Dakota St,42-41-0,50.6%,-2.0,+0.7
Miami,108-106-5,50.5%,4.0,-0.2
Pittsburgh,119-117-4,50.4%,5.5,+0.3
NC State,125-123-5,50.4%,4.0,+0.2
