Team,Over Record,Over %,Under %,Total +/-
Marquette,155-159-2,49.4%,50.6%,+0.8
Colgate,75-77-1,49.3%,50.7%,+0.4
Binghamton,75-77-2,49.3%,50.7%,+0.2
Cornell,150-154-4,49.3%,50.7%,+1.2
Siena,148-152-6,49.3%,50.7%,+1.4
South Carolina,176-181-4,49.3%,50.7%,+0.4
St Bonaventure,163-168-2,49.2%,50.8%,+0.9
Delaware St,65-67-1,49.2%,50.8%,+0.6
Memphis,183-189-4,49.2%,50.8%,+0.1
Purdue FW,122-126-6,49.2%,50.8%,-0.6
SMU,149-154-2,49.2%,50.8%,-0.7
Kansas City,109-113-1,49.1%,50.9%,-0.4
Tulsa,164-170-5,49.1%,50.9%,-0.6
San Diego St,186-193-4,49.1%,50.9%,-0.6
Penn St,130-135-2,49.1%,50.9%,+0.7
Bradley,205-213-2,49.0%,51.0%,-0.1
E Carolina,136-142-4,48.9%,51.1%,+0.4
Loyola Chi,180-188-1,48.9%,51.1%,-0.4
Oklahoma St,177-185-5,48.9%,51.1%,-0.5
La Salle,153-160-3,48.9%,51.1%,+0.1
Minnesota,126-132-1,48.8%,51.2%,-0.1
TCU,166-174-1,48.8%,51.2%,+0.6
Richmond,160-168-5,48.8%,51.2%,+0.2
Washington St,198-208-6,48.8%,51.2%,+0.3
San Diego,179-188-3,48.8%,51.2%,-0.1
Jacksonville St,174-183-5,48.7%,51.3%,0.0
Fordham,133-140-8,48.7%,51.3%,-0.5
Air Force,151-159-3,48.7%,51.3%,+0.2
Niagara,164-173-5,48.7%,51.3%,+0.8
App State,161-170-3,48.6%,51.4%,-0.6
J Madison,189-200-1,48.6%,51.4%,+0.9
Missouri St,184-195-2,48.6%,51.5%,+0.2
N Illinois,183-194-4,48.5%,51.5%,+0.2
UL Monroe,155-165-9,48.4%,51.6%,+0.4
N Iowa,183-195-4,48.4%,51.6%,+0.1
Pittsburgh,149-159-6,48.4%,51.6%,-0.9
N Texas,177-189-7,48.4%,51.6%,-0.2
Illinois,161-172-6,48.4%,51.7%,+0.1
Hou Christian,73-78-3,48.3%,51.7%,+1.0
UCLA,244-261-6,48.3%,51.7%,+0.3
Duke,212-227-2,48.3%,51.7%,-0.6
Akron,178-191-1,48.2%,51.8%,+0.8
C Connecticut,81-87-2,48.2%,51.8%,0.0
William & Mary,187-201-9,48.2%,51.8%,+0.8
Marist,131-141-7,48.2%,51.8%,-0.2
IU Indy,128-138-2,48.1%,51.9%,+0.3
C Arkansas,64-69-3,48.1%,51.9%,-0.2
Cal Baptist,51-55-2,48.1%,51.9%,-1.1
N Arizona,177-191-5,48.1%,51.9%,+0.1
UMBC,73-79-0,48.0%,52.0%,+0.2
S Illinois,179-194-7,48.0%,52.0%,-0.2
San Francisco,173-188-5,47.9%,52.1%,-0.1
Evansville,164-179-3,47.8%,52.2%,+0.6
Monmouth,98-107-2,47.8%,52.2%,+0.3
Tenn Tech,173-189-3,47.8%,52.2%,+0.2
FGCU,90-99-2,47.6%,52.4%,0.0
Longwood,69-76-2,47.6%,52.4%,-0.2
UC Davis,137-151-8,47.6%,52.4%,+0.7
W Kentucky,196-216-8,47.6%,52.4%,+0.7
Maryland,146-161-5,47.6%,52.4%,+0.2
Navy,95-105-2,47.5%,52.5%,-1.6
New Mexico St,158-175-8,47.5%,52.6%,-0.4
Louisiana Tech,183-203-4,47.4%,52.6%,-0.8
Indiana,145-161-7,47.4%,52.6%,-0.9
Charleston,186-207-2,47.3%,52.7%,-0.3
Robert Morris,88-98-4,47.3%,52.7%,-0.7
USC,216-241-6,47.3%,52.7%,-0.4
Villanova,172-192-4,47.3%,52.8%,-0.3
Bryant,76-85-0,47.2%,52.8%,-0.1
Pacific,193-216-5,47.2%,52.8%,-0.5
Georgia So,168-188-0,47.2%,52.8%,-0.7
Illinois St,184-206-4,47.2%,52.8%,-0.8
Albany,75-84-1,47.2%,52.8%,+0.3
Troy,158-177-5,47.2%,52.8%,-0.5
Liberty,83-93-2,47.2%,52.8%,+0.1
DePaul,137-154-1,47.1%,52.9%,-0.2
Tennessee,185-208-5,47.1%,52.9%,-1.1
Kansas,215-242-5,47.1%,53.0%,+0.5
Colorado,175-197-4,47.0%,53.0%,-0.5
UConn,181-204-3,47.0%,53.0%,-0.9
Miami OH,180-203-2,47.0%,53.0%,0.0
Cal Poly,177-200-8,47.0%,53.1%,+0.5
Elon,169-191-1,46.9%,53.1%,-0.6
Morehead St,168-190-4,46.9%,53.1%,-0.1
Georgia Tech,149-169-2,46.9%,53.1%,-0.4
Georgia,171-194-1,46.9%,53.2%,-0.2
