Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Charleston Southern,Charleston Southern,2.0,152.5.,135,[],False
North Florida,Austin Peay,6.5,148.5.,186,[],False
Presbyterian,Presbyterian,3.5,143.5.,128,[],False
Winthrop,Winthrop,-15.0,165.,171,[],False
Holy Cross,Loyola (MD),2.5,140.,0,[],False
Appalachian St.,Troy,-2.5,132.,130,[],False
Wright St.,Wright St.,-13.0,152.5.,125,[],False
Charleston,Hampton,10.0,147.,0,[],False
Monmouth-NJ,Stony Brook,6.5,142.,0,[],False
Hofstra,William & Mary,5.5,150.,0,[],False
Old Dominion,Arkansas St.,-10.5,153.,137,[],False
West Georgia,Florida Gulf Coast,-8.5,138.,147,[],False
Marshall,Marshall,-1.0,142.,148,[],False
Campbell,Campbell,3.0,137.,0,[],False
UNC Wilmington,Towson,5.0,138.5.,126,[],False
Detroit Mercy,Detroit Mercy,5.5,142.5.,154,[],False
North Alabama,North Alabama,-13.5,148.5.,148,[],False
Florida Atlantic,Memphis,-3.0,164.,152,[],False
Queens University Of Charlotte,Stetson,9.5,155.,183,[],False
Coastal Carolina,UL Lafayette,2.0,137.5.,139,[],False
North Carolina A&T,Elon University,-6.5,152.5.,142,[],False
Lehigh,Bucknell,3.0,140.5.,0,[],False
James Madison,Southern Miss,11.5,140.5.,155,[],False
Oakland,Oakland,1.0,146.,114,[],False
Northeastern,Delaware,5.5,151.5.,157,[],False
High Point,High Point,-8.5,144.5.,134,[],False
Lafayette,Lafayette,1.5,128.5.,106,[],False
Liberty,Western Kentucky,10.0,146.5.,141,[],False
Navy,Navy,2.0,137.5.,0,[],False
Georgia Southern,UL Monroe,10.0,149.,0,[],False
Georgia St.,South Alabama,-4.5,139.,128,[],False
Colgate,Army,5.5,145.,0,[],False
Penn St.,Northwestern,4.5,145.,164,[],False
Northern Arizona,Idaho State,3.5,142.5.,139,[],False
Minnesota,Purdue,-5.5,136.5.,142,[],False
Northern Colorado,Northern Colorado,-6.0,150.,161,[],False
Murray St.,Illinois St.,7.5,135.,142,[],False
North Dakota State,St. Thomas (MN),3.0,152.,174,[],False
Cal Poly SLO,UC Irvine,-8.0,159.,187,[],False
North Dakota,Nebraska Omaha,4.5,151.,180,[],False
Kansas City,Kansas City,-4.0,154.5.,122,[],False
Tennessee St.,SE Missouri St.,2.5,152.,132,[],False
Indiana,Rutgers,8.5,153.,0,[],False
Central Arkansas,Central Arkansas,6.5,152.,172,[],False
Eastern Illinois,Eastern Illinois,-2.5,138.5.,152,[],False
Tenn-Martin,Little Rock,2.0,137.,113,[],False
SIU Edwardsville,SIU Edwardsville,-7.0,134.,143,[],False
South Dakota State,South Dakota State,-15.5,149.5.,161,[],False
New Mexico St.,New Mexico St.,-1.0,150.,146,[],False
Gonzaga,Portland,33.5,159.,131,[],False
Idaho,Idaho,1.5,145.5.,133,[],False
Texas-El Paso,Louisiana Tech,2.5,136.5.,0,[],False
Eastern Washington,Montana,-2.0,154.,173,[],False
CSU Bakersfield,CSU Bakersfield,-1.5,136.,139,[],False
Washington,Washington,6.0,147.5.,144,[],False
Pacific,Pacific,13.0,141.,0,[],False
CSU Fullerton,CSU Northridge,-5.0,142.5.,160,[],False
Long Beach St.,UC Riverside,-3.5,138.,136,[],False
Loyola Marymount,Loyola Marymount,3.0,137.,0,[],False
Oregon,Illinois,4.5,155.5.,0,[],False
San Diego,San Diego,13.0,152.5.,0,[],False
Saint Mary'S,Saint Mary's,-17.0,141.5.,112,[],False
