Rank,Hotness Score,Matchup,Time,Location
1,96.5,#48 Washington  at  #24 Indiana,8:00 PM,Simon Skjodt Assembly Hall
2,93.9,#43 Creighton  at  #64 Seton Hall,12:00 PM,Prudential Center
3,90.9,#99 Marquette  at  #7 UConn,2:00 PM,Harry A. Gampel Pavilion
4,89.0,#119 Loyola Mymt  at  #3 Gonzaga,9:00 PM,McCarthey Athletic Center
5,88.8,#112 Seattle  at  #39 Saint Mary's,8:00 PM,University Credit Union Pavilion
6,86.5,#107 UAB  at  #79 S Florida,1:00 PM,Yuengling Center
7,84.3,#116 Bradley  at  #93 Murray St,5:00 PM,CFSB Center
8,83.8,#72 Tulsa  at  #136 N Texas,4:00 PM,The Super Pit
9,83.4,#130 S Illinois  at  #83 Belmont,5:00 PM,Curb Event Center
10,79.3,#135 Sam Houston  at  #122 Middle Tenn,2:00 PM,Murphy Center
11,71.9,#129 Richmond  at  #183 Fordham,12:00 PM,Rose Hill Gymnasium
12,71.5,#220 San Diego  at  #71 Santa Clara,7:00 PM,Leavey Center
13,71.4,#196 Jacksonville St  at  #110 Liberty,2:00 PM,Liberty Arena
14,71.0,#106 Florida Atlantic  at  #206 Tulane,1:00 PM,Avron B. Fogelman Arena in Devlin Fieldhouse
15,69.9,#173 Oregon St  at  #156 Washington St,7:30 PM,Friel Court at Beasley Coliseum
16,69.2,#194 Robert Morris  at  #137 Oakland,3:00 PM,OU Credit Union O'rena
17,69.1,#169 Iona  at  #168 Marist,2:00 PM,McCann Arena
18,68.1,#195 Indiana St  at  #146 Drake,3:00 PM,Knapp Center
19,67.5,#199 Louisiana Tech  at  #142 W Kentucky,3:00 PM,E.A. Diddle Arena
20,64.4,#162 Youngstown St  at  #207 N Kentucky,4:00 PM,Truist Arena
21,63.2,#150 New Mexico St  at  #224 Missouri St,3:00 PM,Great Southern Bank Arena
22,62.1,#264 Portland  at  #98 San Francisco,7:00 PM,War Memorial at the Sobrato Center
23,62.0,#89 N Iowa  at  #270 Evansville,4:00 PM,Ford Center
24,59.6,#192 Illinois Chicago  at  #210 Valparaiso,3:00 PM,Athletics-Recreation Center
25,56.6,#265 Denver  at  #145 St Thomas,1:00 PM,Lee & Penny Anderson Arena
26,54.5,#280 Pepperdine  at  #139 Pacific,7:00 PM,Alex G. Spanos Center
27,54.3,#250 UTEP  at  #179 Florida Intl,4:00 PM,Ocean Bank Convocation Center
28,50.1,#131 Kennesaw St  at  #312 Delaware,2:00 PM,Bob Carpenter Center
29,46.6,#309 Mt St Mary's  at  #157 Quinnipiac,2:00 PM,M&T Bank Arena
30,42.9,#132 Wright St  at  #346 IU Indy,2:00 PM,The Jungle
31,37.2,#172 Siena  at  #348 Rider,2:00 PM,Alumni Gymnasium
32,33.1,#218 LIU  at  #338 Chicago St,2:00 PM,Emil and Patricia Jones Convocation Center
33,32.3,#326 Cleveland St  at  #235 Purdue FW,2:00 PM,Allen County War Memorial Coliseum
34,30.8,#314 Manhattan  at  #260 Merrimack,12:00 PM,Lawler Arena
35,30.6,#327 New Haven  at  #247 C Connecticut,1:00 PM,Harrison J. Kaiser Hall/Detrick Gymnasium
36,25.2,#289 Le Moyne  at  #320 Mercyhurst,2:00 PM,Owen McCormick Court at the Mercyhurst Athletic
37,21.3,#273 Fairfield  at  #352 Niagara,2:00 PM,Gallagher Center
38,20.4,#284 Sacred Heart  at  #349 Canisius,12:00 PM,Koessler Athletic Center
39,16.7,#344 Stonehill  at  #302 Wagner,4:00 PM,Spiro Sports Center
40,7.2,#337 F Dickinson  at  #363 St Francis PA,4:00 PM,DeGol Arena
