Rank,Hotness Score,Matchup,Time,Location
1,95.1,#6 Houston  at  #7 Denver,9:00 PM,Ball Arena
2,85.5,#13 Golden State  at  #9 Minnesota,9:30 PM,Target Center
3,83.0,#10 Orlando  at  #14 Milwaukee,8:00 PM,Fiserv Forum
4,82.7,#4 Memphis  at  #17 San Antonio,8:00 PM,Frost Bank Center
5,77.6,#15 Miami  at  #19 LA Lakers,10:00 PM,Crypto.com Arena
6,75.7,#5 New York  at  #20 Philadelphia,7:00 PM,Wells Fargo Center
7,65.6,#22 Atlanta  at  #23 Chicago,8:00 PM,United Center
8,62.8,#2 Boston  at  #26 Toronto,7:30 PM,Scotiabank Arena
9,59.1,#8 Dallas  at  #28 New Orleans,8:00 PM,Smoothie King Center
10,58.8,#27 Brooklyn  at  #12 LA Clippers,10:30 PM,Intuit Dome
11,56.6,#25 Charlotte  at  #24 Utah,9:00 PM,Delta Center
