Rank,Hotness Score,Matchup,Time,Location
1,88.2,#5 Cleveland  at  #10 Miami,7:30 PM,Kaseya Center
2,77.5,#11 Golden State  at  #7 San Antonio,8:00 PM,Frost Bank Center
3,76.9,#8 LA Lakers  at  #1 Okla City,9:30 PM,Paycom Center
4,74.9,#12 Atlanta  at  #23 Sacramento,10:00 PM,Golden 1 Center
5,74.5,#13 Orlando  at  #4 New York,7:00 PM,Madison Square Garden
6,74.1,#19 Chicago  at  #9 Detroit,7:00 PM,Little Caesars Arena
7,65.3,#2 Denver  at  #20 LA Clippers,10:30 PM,Intuit Dome
8,60.3,#17 Milwaukee  at  #25 Charlotte,7:00 PM,Spectrum Center
9,57.6,#21 Phoenix  at  #24 Dallas,8:30 PM,American Airlines Center
10,57.1,#22 Memphis  at  #15 Boston,7:30 PM,TD Garden
11,52.2,#18 Portland  at  #27 New Orleans,8:00 PM,Smoothie King Center
12,31.5,#30 Washington  at  #3 Houston,8:00 PM,Toyota Center
