Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Texas-Arlington,Texas-Arlington,1.5,145.,161,[],False
Elon University,NC A&T,12.5,139.5.,119,[],False
Towson,Delaware,6.5,142.5.,145,[],False
William & Mary,Hofstra,2.5,145.5.,121,[],False
Northeastern,Northeastern,-5.0,138.5.,125,[],False
Hampton,Hampton,1.5,129.5.,121,[],False
Sam Houston St.,Sam Houston St.,-2.5,143.,127,[],False
SD State,SD State,-8.5,155.,183,[],False
North Dakota,Denver,8.5,152.,132,[],False
Nebraska,Maryland,1.0,149.,158,[],False
ND State,Oral Roberts,13.0,155.,182,[],False
South Florida,Memphis,-7.0,151.5.,145,[],False
Texas-El Paso,Texas-El Paso,-9.0,142.,140,[],False
New Mexico St.,Liberty,-3.0,133.5.,118,[],False
Portland,Portland,13.0,144.5.,156,[],False
CSU Fullerton,Cal Poly SLO,-6.0,158.,181,[],False
Loyola Marymount,Pacific,11.5,137.,141,[],False
Sacramento State,Northern CO,-8.0,145.,138,[],False
Pepperdine,San Diego,8.5,152.,169,[],False
UC Irvine,UC Santa Barbara,8.5,141.,122,[],False
Gonzaga,San Francisco,15.5,153.5.,165,[],False
