Rank,Hotness Score,Matchup,Time,Location
1,97.4,#14 Maryland  at  #47 Nebraska,8:30 PM,Pinnacle Bank Arena
2,94.5,#75 San Francisco  at  #10 Gonzaga,11:00 PM,McCarthey Athletic Center
3,80.6,#48 Memphis  at  #172 S Florida,9:00 PM,Yuengling Center
4,80.0,#160 UCSB  at  #76 UC Irvine,11:00 PM,Bren Events Center
5,79.4,#140 Col Charlestn  at  #114 NC-Wilmgton,7:00 PM,Trask Coliseum
6,75.7,#177 Longwood  at  #99 High Point,7:00 PM,Nido and Mariana Qubein Arena
7,75.5,#88 Liberty  at  #188 N Mex State,9:00 PM,Pan American Center
8,72.1,#185 Kennesaw St  at  #124 LA Tech,7:30 PM,Thomas Assembly Center
9,71.9,#129 Jksnville St  at  #183 Sam Hous St,7:30 PM,Bernard G. Johnson Coliseum
10,69.1,#184 Marshall  at  #150 S Alabama,8:00 PM,Mitchell Center
11,67.7,#60 UCSD  at  #250 CS Bakersfld,9:30 PM,Icardo Center
12,66.6,#228 Neb Omaha  at  #113 S Dakota St,8:00 PM,First Bank & Trust Arena
13,65.2,#157 Cal Baptist  at  #206 TX-Arlington,5:00 PM,College Park Center
14,63.1,#134 Seattle  at  #238 Abl Christian,8:00 PM,Moody Coliseum
15,62.1,#174 UC Riverside  at  #211 UC Davis,9:00 PM,University Credit Union Center
16,61.4,#190 Campbell  at  #200 Northeastrn,7:00 PM,Matthews Arena
17,59.7,#187 Hofstra  at  #213 Wm & Mary,7:00 PM,Kaplan Arena
18,59.1,#239 Delaware  at  #159 Towson,7:00 PM,TU Arena
19,57.2,#89 Grd Canyon  at  #297 Tarleton St,8:00 PM,Wisdom Gym
20,56.8,#256 N Florida  at  #154 N Alabama,7:00 PM,CB&S Bank Arena at Flowers Hall
20,56.8,#152 James Mad  at  #260 GA Southern,7:00 PM,Jack and Ruth Ann Hill Convocation Center
22,55.2,#224 Idaho St  at  #204 Montana,9:00 PM,Dahlberg Arena/Robin Selvig Court
23,54.9,#265 Florida Intl  at  #156 TX El Paso,9:00 PM,Don Haskins Center
24,52.0,#178 Drexel  at  #269 Hampton,7:00 PM,Hampton Convocation Center
25,51.0,#83 Oregon St  at  #330 Portland,10:00 PM,Chiles Center
26,50.7,#243 N Arizona  at  #214 Portland St,10:00 PM,Viking Pavilion
27,50.6,#258 Weber St  at  #196 Montana St,9:00 PM,Brick Breeden Fieldhouse
28,49.3,#273 Albany  at  #189 Mass Lowell,6:00 PM,Costello Athletic Center
28,49.3,#300 Pacific  at  #149 Loyola Mymt,10:00 PM,Gersten Pavilion
30,49.0,#170 Fla Gulf Cst  at  #291 Austin Peay,8:00 PM,F&M Bank Arena
31,48.2,#227 Kansas City  at  #247 South Dakota,8:00 PM,Sanford Coyote Sports Center
32,47.4,#311 Oral Roberts  at  #147 N Dakota St,9:00 PM,Scheels Center
33,45.1,#146 App State  at  #326 Coastal Car,7:00 PM,HTC Center
34,44.7,#351 Stetson  at  #102 Lipscomb,8:15 PM,Allen Arena
35,43.3,#343 NJIT  at  #130 Bryant,6:00 PM,Chace Athletic Center
36,41.7,#161 N Colorado  at  #333 Sac State,10:00 PM,The Nest
37,40.3,#325 NC A&T  at  #181 Elon,7:00 PM,Schar Center
38,38.5,#308 TN Tech  at  #218 AR Lit Rock,8:00 PM,Jack Stephens Center
39,38.2,#319 Lg Beach St  at  #205 Hawaii,11:59 PM,SimpliFi Arena at Stan Sheriff Center
40,37.9,#294 TN Martin  at  #237 SIU Edward,8:30 PM,First Community Arena at the Vadalabene Center
41,36.0,#195 Texas St  at  #340 UL Monroe,7:30 PM,Fant-Ewing Coliseum
42,35.5,#317 San Diego  at  #226 Pepperdine,10:00 PM,Firestone Fieldhouse
43,34.5,#347 Mercyhurst  at  #191 Central Conn,7:00 PM,William H. Detrick Gymnasium
44,34.0,#290 Old Dominion  at  #268 Georgia St,7:00 PM,Georgia State Convocation Center
45,32.8,#201 Jacksonville  at  #349 Central Ark,7:30 PM,Farris Center
46,32.3,#305 Binghamton  at  #261 Maryland BC,6:00 PM,Chesapeake Employers Insurance Arena
47,31.8,#342 W Georgia  at  #215 E Kentucky,7:00 PM,Baptist Health Arena
48,30.7,#255 Monmouth  at  #320 Stony Brook,5:00 PM,Island Federal Credit Union Arena
49,28.3,#310 Utah Tech  at  #278 S Utah,8:30 PM,America First Events Center
50,28.1,#357 N Hampshire  at  #221 Vermont,7:00 PM,Patrick Gymnasium
51,26.6,#235 Queens  at  #354 Bellarmine,6:30 PM,Knights Hall
52,24.6,#271 TN State  at  #337 E Illinois,8:30 PM,Groniger Arena
53,24.5,#272 Cal Poly  at  #336 CS Fullerton,10:00 PM,Titan Gym
54,22.1,#338 Denver  at  #282 North Dakota,8:00 PM,Betty Engelstad Sioux Center
55,19.6,#302 Morehead St  at  #335 Lindenwood,8:30 PM,Robert F. Hyland Arena
56,18.7,#323 St Fran (PA)  at  #318 Stonehill,7:00 PM,Merkert Gymnasium
57,12.3,#321 S Indiana  at  #353 W Illinois,8:30 PM,LeRoy A. Ufkes Court at Western Hall
58,12.0,#360 Chicago St  at  #313 F Dickinson,7:00 PM,Bogota Savings Bank Center
59,10.9,#334 Wagner  at  #348 Le Moyne,7:00 PM,Ted Grant Court
