Rank,Hotness Score,Matchup,Time,Location
1,91.6,#3 Denver  at  #9 Cleveland,7:30 PM,Rocket Arena
2,82.9,#1 Okla City  at  #10 Golden State,10:00 PM,Chase Center
3,76.1,#17 Atlanta  at  #4 New York,7:30 PM,Madison Square Garden
4,74.0,#19 Memphis  at  #13 LA Lakers,10:30 PM,Crypto.com Arena
5,72.1,#11 Orlando  at  #23 Chicago,8:00 PM,United Center
6,62.1,#20 Portland  at  #25 New Orleans,8:00 PM,Smoothie King Center
7,61.9,#24 Charlotte  at  #21 Milwaukee,8:00 PM,Fiserv Forum
8,53.4,#5 San Antonio  at  #29 Indiana,7:00 PM,Gainbridge Fieldhouse
9,49.4,#26 Brooklyn  at  #30 Washington,7:00 PM,Capital One Arena
10,48.9,#28 Sacramento  at  #14 Phoenix,9:00 PM,Mortgage Matchup Center
