Rank,Hotness Score,Matchup,Time,Location
1,88.4,#6 Orlando  at  #3 Denver,9:00 PM,Ball Arena
2,80.1,#11 Golden State  at  #16 Phoenix,9:00 PM,Mortgage Matchup Center
3,71.2,#5 Detroit  at  #21 Dallas,8:30 PM,American Airlines Center
4,70.3,#15 Toronto  at  #22 Milwaukee,8:00 PM,Fiserv Forum
5,67.8,#14 Atlanta  at  #24 Charlotte,7:00 PM,Spectrum Center
6,63.3,#12 LA Lakers  at  #28 Utah,9:00 PM,Delta Center
7,58.1,#13 Miami  at  #29 Brooklyn,7:30 PM,Barclays Center
8,56.6,#2 Houston  at  #26 New Orleans,8:00 PM,Smoothie King Center
9,55.0,#4 New York  at  #27 Indiana,7:00 PM,Gainbridge Fieldhouse
10,54.6,#25 Sacramento  at  #19 Portland,10:00 PM,Moda Center
11,53.5,#20 LA Clippers  at  #1 Okla City,8:00 PM,Paycom Center
12,43.2,#30 Washington  at  #7 San Antonio,8:00 PM,Frost Bank Center
