Team,ATS Record,Cover %,MOV,ATS +/-
UTSA,91-86-5,51.4%,-4.1,+0.4
N Kentucky,92-87-2,51.4%,1.7,0.0
G Washington,74-70-1,51.4%,-0.3,+0.8
UC Irvine,93-88-5,51.4%,5.7,+0.7
Marquette,75-71-2,51.4%,6.8,+1.4
Texas So,75-71-5,51.4%,2.9,+0.6
Miami,75-71-2,51.4%,2.2,-0.4
Gardner-Webb,76-72-2,51.4%,-0.8,+0.3
UL Monroe,95-90-5,51.4%,-5.5,+0.4
Youngstown St,98-93-2,51.3%,-1.7,+0.1
Wofford,99-94-2,51.3%,2.7,+0.9
Bradley,100-95-6,51.3%,1.8,+1.4
Lipscomb,83-79-2,51.2%,3.1,-0.2
Miss Valley St,68-65-0,51.1%,-15.6,-1.4
Troy,93-89-3,51.1%,-0.1,+0.3
Cleveland St,94-90-6,51.1%,-3.2,-0.3
Wake Forest,71-68-3,51.1%,1.7,+0.9
Mississippi St,95-91-4,51.1%,2.8,+0.2
Seton Hall,72-69-2,51.1%,3.3,-0.5
Radford,73-70-2,51.1%,0.1,+0.5
UAB,101-97-5,51.0%,5.3,-0.2
Toledo,104-100-1,51.0%,4.4,0.0
Navy,86-83-2,50.9%,0.9,+0.4
Texas,92-89-1,50.8%,3.8,-0.1
Florida Intl,94-91-5,50.8%,-3.9,-0.8
Texas Tech,94-91-2,50.8%,6.6,+1.2
Florida,94-91-2,50.8%,6.1,+0.5
Charleston,103-100-6,50.7%,4.5,+0.1
NC Asheville,70-68-1,50.7%,0.6,-0.3
Vermont,76-74-5,50.7%,8.4,-0.1
Wyoming,81-79-4,50.6%,-2.3,+0.4
Villanova,83-81-4,50.6%,9.4,+0.7
Portland St,87-85-7,50.6%,-1.2,-0.6
UT Martin,89-87-2,50.6%,-3.8,-0.2
SE Missouri St,94-92-2,50.5%,-4.6,-0.1
Vanderbilt,95-93-5,50.5%,-0.8,-0.2
Chattanooga,97-95-5,50.5%,1.1,0.0
West Virginia,97-95-3,50.5%,4.3,+0.1
Gonzaga,106-104-7,50.5%,17.1,+1.6
Northwestern,60-59-3,50.4%,1.3,0.0
Manhattan,65-64-3,50.4%,-3.3,0.0
Cornell,66-65-1,50.4%,-1.8,+0.4
High Point,71-70-0,50.4%,-0.9,-1.4
Brown,72-71-4,50.4%,-2.2,+0.2
N Florida,73-72-3,50.3%,-2.6,0.0
UC Davis,79-78-5,50.3%,-0.1,0.0
Purdue FW,80-79-2,50.3%,0.1,0.0
San Diego,84-83-3,50.3%,-5.0,-0.7
Pacific,88-87-4,50.3%,-4.8,-0.2
W Michigan,87-86-2,50.3%,-4.0,+0.1
Akron,88-87-3,50.3%,4.4,+0.7
Idaho,97-96-4,50.3%,-3.9,0.0
Ohio,95-94-4,50.3%,2.5,-0.1
N Arizona,97-96-4,50.3%,-7.5,-0.5
Arkansas St,95-94-5,50.3%,-2.4,-0.4
E Kentucky,96-95-4,50.3%,-0.7,+0.3
Texas St,95-94-6,50.3%,1.0,+0.6
Oregon,99-98-1,50.3%,4.8,-0.3
Siena,76-76-3,50.0%,-1.7,-0.5
Iona,76-76-2,50.0%,3.1,-0.6
Fairfield,74-74-3,50.0%,-2.1,-0.5
Southern Miss,93-93-3,50.0%,-3.7,+0.5
Delaware St,57-57-1,50.0%,-9.4,-0.5
Montana St,96-96-6,50.0%,0.0,-0.2
Kansas,96-96-3,50.0%,8.2,0.0
Saint Mary's,92-92-3,50.0%,8.6,+0.7
Lamar,60-60-2,50.0%,-1.9,+0.5
Kentucky,89-89-3,50.0%,8.9,+0.9
Seattle,70-70-2,50.0%,1.8,+1.1
Longwood,66-66-3,50.0%,-3.0,+0.6
S Dakota St,84-84-2,50.0%,5.7,+0.9
Utah Tech,38-38-3,50.0%,-7.8,-0.6
UT Arlington,93-94-5,49.7%,0.5,-0.3
Utah,88-89-7,49.7%,2.2,-0.2
N Colorado,88-89-5,49.7%,0.3,-0.2
Grand Canyon,75-76-3,49.7%,6.0,0.0
Duquesne,70-71-1,49.7%,-0.5,-0.6
Rider,67-68-3,49.6%,-0.8,-0.1
Dartmouth,63-64-8,49.6%,-4.9,+0.3
Tulane,62-63-4,49.6%,-2.8,-1.1
N Alabama,61-62-1,49.6%,-2.1,+0.6
Arizona,96-98-5,49.5%,9.0,0.0
Mercer,96-98-3,49.5%,-1.0,-0.6
North Dakota,87-89-2,49.4%,-2.3,+0.6
Dayton,79-81-3,49.4%,5.6,+0.2
St Francis PA,74-76-2,49.3%,-2.6,-0.6
Davidson,72-74-2,49.3%,3.8,+0.1
Providence,73-75-3,49.3%,2.1,-0.3
W Kentucky,105-108-3,49.3%,1.1,-1.1
Hou Christian,68-70-3,49.3%,-7.3,-0.5
Binghamton,67-69-3,49.3%,-6.3,-0.8
SC Upstate,64-66-4,49.2%,-7.8,-0.4
Indiana,62-64-2,49.2%,5.4,-0.2
Montana,91-94-10,49.2%,4.0,+0.3
Sacramento St,91-94-3,49.2%,-4.1,-0.7
Illinois Chicago,88-91-6,49.2%,-2.9,-0.4
Stanford,87-90-5,49.2%,0.1,-0.7
Tennessee St,87-90-4,49.2%,-0.3,+0.6
Iowa,57-59-5,49.1%,6.6,+1.2
Portland,84-87-3,49.1%,-7.9,-1.0
Loyola Mymt,84-87-6,49.1%,-3.2,-0.5
Lindenwood,28-29-1,49.1%,-9.4,-0.6
Hofstra,103-107-3,49.1%,3.3,-0.6
Clemson,74-77-5,49.0%,6.1,+0.3
UTEP,97-101-6,49.0%,-1.3,-0.3
Kennesaw St,73-76-3,49.0%,-4.5,-0.3
South Dakota,69-72-2,48.9%,-1.6,-1.1
Georgia,88-92-1,48.9%,-1.8,-0.1
Long Beach St,82-86-5,48.8%,-3.3,-0.7
Norfolk St,60-63-1,48.8%,2.0,+0.9
Saint Joseph's,76-80-4,48.7%,-1.8,-1.2
NC Wilmington,92-97-5,48.7%,1.4,+0.1
Purdue,73-77-5,48.7%,10.6,+1.4
UMass,72-76-4,48.7%,-0.9,-0.9
Winthrop,72-76-2,48.7%,4.6,-0.3
Lehigh,66-70-1,48.5%,-1.4,-0.5
S Utah,76-81-5,48.4%,-3.8,-0.5
Air Force,72-77-3,48.3%,-6.9,-1.3
American,71-76-1,48.3%,-2.2,+0.5
Oral Roberts,71-76-3,48.3%,-1.8,+0.1
Austin Peay,98-105-4,48.3%,-1.0,0.0
Loyola MD,67-72-1,48.2%,-3.6,-0.2
Alabama A&M,66-71-1,48.2%,-5.8,-0.5
Kansas City,65-70-3,48.2%,-3.8,-0.4
CS Northridge,77-83-2,48.1%,-5.0,-0.7
Charlotte,88-95-4,48.1%,-2.9,-0.7
Notre Dame,63-68-5,48.1%,2.0,-0.1
Wagner,75-81-2,48.1%,-0.1,-0.6
Xavier,75-81-1,48.1%,4.5,+0.1
Idaho St,87-94-2,48.1%,-3.6,+0.4
La Salle,74-80-2,48.1%,-3.0,-0.8
VMI,86-93-2,48.0%,-8.8,-0.8
Washington,83-90-0,48.0%,-1.3,-0.7
Wichita St,59-64-5,48.0%,6.3,-0.6
J Madison,94-102-4,48.0%,0.2,-0.4
Harvard,69-75-1,47.9%,0.2,-0.5
W Carolina,100-109-2,47.9%,-6.3,-0.8
Green Bay,86-94-6,47.8%,-4.4,-0.2
Rhode Island,75-82-1,47.8%,3.1,0.0
Oklahoma St,83-91-3,47.7%,0.4,0.0
Kent St,81-89-9,47.7%,2.2,-0.2
Abl Christian,59-65-4,47.6%,0.4,-0.3
Colorado St,68-75-2,47.6%,1.7,+0.4
Little Rock,87-96-4,47.5%,-0.6,+0.4
Mississippi,86-95-3,47.5%,1.3,-1.1
Loyola Chi,84-93-2,47.5%,4.4,-0.7
Missouri St,83-92-5,47.4%,0.3,-1.1
Elon,92-102-1,47.4%,-4.1,-0.3
Georgia St,91-101-5,47.4%,0.2,-0.8
Washington St,81-90-1,47.4%,-1.2,+0.3
TCU,81-90-3,47.4%,1.1,-0.8
C Connecticut,71-79-2,47.3%,-5.4,-0.9
Maryland ES,44-49-3,47.3%,-9.8,-0.3
Prairie View,61-68-5,47.3%,-0.6,+0.2
Albany,61-68-3,47.3%,-0.4,-0.2
Morgan St,52-58-1,47.3%,-3.6,-0.5
FGCU,78-87-1,47.3%,1.5,-0.6
Mt St Mary's,69-77-4,47.3%,-0.9,+0.7
Florida Atlantic,86-96-2,47.3%,0.3,+1.1
Colorado,86-96-1,47.3%,3.4,-0.2
Louisiana,93-104-4,47.2%,0.6,-0.9
W Illinois,59-66-3,47.2%,-6.0,-1.6
UMass Lowell,59-66-3,47.2%,-0.5,-0.3
Morehead St,84-94-6,47.2%,-1.4,-0.6
Missouri,82-92-2,47.1%,-2.2,-1.2
Detroit Mercy,82-92-2,47.1%,-5.4,-0.7
E Michigan,80-90-1,47.1%,-4.6,-0.8
S Illinois,80-90-4,47.1%,-0.1,-0.5
Miami OH,87-98-6,47.0%,-2.4,-0.3
DePaul,62-70-4,47.0%,-4.2,-1.4
Illinois,68-77-4,46.9%,6.7,+0.6
N Iowa,82-93-4,46.9%,0.4,-1.3
Michigan St,67-76-0,46.9%,4.8,-0.8
Alabama St,66-75-4,46.8%,-4.6,-0.8
Weber St,95-108-3,46.8%,1.1,-1.4
E Texas A&M,29-33-2,46.8%,-7.1,-1.7
Coastal Car,84-96-4,46.7%,-1.9,-0.6
Oklahoma,83-95-5,46.6%,1.9,-0.6
NJIT,62-71-4,46.6%,-5.2,-1.5
Ball St,88-101-1,46.6%,1.1,-0.4
Pepperdine,87-100-2,46.5%,-5.6,-1.6
Bryant,65-75-2,46.4%,-2.2,-0.9
LSU,84-97-4,46.4%,2.0,-0.5
Pittsburgh,64-74-5,46.4%,-0.7,-1.3
Tennessee,89-103-2,46.4%,5.9,-0.5
Evansville,76-88-5,46.3%,-5.4,-0.9
AR-Pine Bluff,63-73-2,46.3%,-7.8,0.0
Boston College,63-73-2,46.3%,-3.1,-0.1
SIU Edward,87-101-4,46.3%,-5.4,-1.3
Merrimack,49-57-0,46.2%,0.3,-0.3
Coppin St,60-70-1,46.2%,-8.6,-0.8
LIU,46-54-3,46.0%,-3.6,-0.7
Bethune,57-67-2,46.0%,-2.7,-0.5
Samford,82-97-2,45.8%,-0.6,-1.3
Canisius,69-82-4,45.7%,-3.1,-1.1
NC A&T,58-69-2,45.7%,-7.4,-1.5
Bowling Green,84-100-3,45.7%,-2.4,-1.7
E Illinois,90-108-2,45.5%,-6.3,-0.9
Stonehill,25-30-0,45.5%,-5.9,-1.8
Quinnipiac,61-74-5,45.2%,-1.8,-0.8
Bellarmine,42-51-2,45.2%,-4.6,-1.1
Rice,79-96-7,45.1%,-3.6,-1.0
UT Rio Grande,60-73-3,45.1%,-6.8,-2.0
Old Dominion,94-115-5,45.0%,1.6,-0.1
Tulsa,49-60-4,45.0%,-1.8,-1.6
McNeese,57-70-2,44.9%,-1.0,-0.9
N Dakota St,70-86-3,44.9%,2.1,-0.3
New Orleans,61-75-3,44.9%,-4.6,-1.8
Georgetown,65-80-3,44.8%,-0.3,-0.4
Richmond,67-83-1,44.7%,0.5,-0.2
Delaware,88-109-2,44.7%,-2.7,-0.9
Ohio St,58-72-1,44.6%,5.3,-0.7
Denver,66-82-3,44.6%,-4.5,-0.3
Hawai'i,66-82-2,44.6%,0.9,-1.0
CS Bakersfield,65-81-2,44.5%,-1.6,-0.1
Minnesota,48-60-2,44.4%,-0.1,-1.7
Holy Cross,72-90-0,44.4%,-6.4,-0.7
Cal Baptist,45-57-2,44.1%,1.2,-0.7
Arizona St,74-94-8,44.1%,0.6,-0.6
Cal Poly,74-94-2,44.1%,-7.1,-1.0
Illinois St,80-102-3,44.0%,-1.7,-0.4
Northeastern,87-111-7,43.9%,0.2,-1.1
S Florida,53-68-2,43.8%,-2.6,-0.5
UNLV,66-85-4,43.7%,1.5,-0.7
New Mexico,59-77-2,43.4%,1.1,-1.1
Columbia,59-77-6,43.4%,-4.8,-1.5
San Francisco,75-98-3,43.4%,2.2,-0.8
Cincinnati,61-80-5,43.3%,7.6,-0.7
Milwaukee,77-101-3,43.3%,-1.0,-0.4
Charleston So,54-71-3,43.2%,-5.8,-1.0
Chicago St,45-60-1,42.9%,-17.8,-2.5
SF Austin,53-71-5,42.7%,2.7,-1.6
Utah St,64-87-2,42.4%,4.2,-0.5
NC State,66-90-2,42.3%,2.8,+0.1
Incarnate Word,55-77-0,41.7%,-8.0,-2.0
SMU,47-67-4,41.2%,4.8,-1.1
The Citadel,75-107-8,41.2%,-9.5,-1.5
Howard,49-70-4,41.2%,-3.7,-1.7
Boston U,64-93-4,40.8%,-0.7,-2.0
IU Indy,65-96-4,40.4%,-8.9,-2.3
Le Moyne,14-21-0,40.0%,-5.4,-0.2
S Indiana,24-37-1,39.3%,-5.6,-2.0
Fordham,56-87-3,39.2%,-4.3,-1.4
W Georgia,9-16-0,36.0%,-11.6,-1.5
