Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Charleston,Stony Brook,16.5,146.5.,155,[],False
Maine,Maine,-14.5,137.,117,[],False
Binghamton,Binghamton,4.5,127.,147,[],False
Penn St.,Ohio St.,3.5,147.,147 pushed the pre-game total of 147.,[],False
Delaware,Towson,-2.0,145.5.,142,[],False
Monmouth-NJ,Monmouth-NJ,2.5,132.,201,[],False
UMBC,Bryant,-5.0,168.,178,[],False
Elon University,Hofstra,3.5,130.,137,[],False
NJIT,NJIT,9.0,143.,145,[],False
North Carolina A&T,UNC Wilmington,-17.5,146.5.,142,[],False
Robert Morris,Robert Morris,-9.0,145.,159,[],False
Jacksonville St.,Florida International,6.5,140.,138,[],False
Mercyhurst,Mercyhurst,2.0,136.5.,120,[],False
Troy,Georgia Southern,10.0,144.5.,155,[],False
Marshall,Georgia St.,12.5,150.5.,166,[],False
Hampton,Northeastern,-2.0,138.,147,[],False
Stonehill,Stonehill,-3.5,121.5.,134,[],False
LIU,Central Conn. St.,-4.0,126.5.,113,[],False
Campbell,Campbell,2.5,155.,151,[],False
Fairleigh Dickinson,Le Moyne,5.5,151.5.,152,[],False
James Madison,Coastal Carolina,13.5,134.,137,[],False
Detroit Mercy,Detroit Mercy,7.5,133.5.,125,[],False
Morehead St.,Tennessee Tech,5.5,135.,136,[],False
Middle Tennessee St.,New Mexico St.,6.5,141.5.,118,[],False
Austin Peay,Austin Peay,-8.5,140.,163,[],False
Texas-Arlington,Southern Utah,10.0,147.,138,[],False
Kennesaw St.,Liberty,-3.5,147.5.,144,[],False
North Dakota State,South Dakota State,3.0,157.,134,[],False
Tarleton State,Tarleton State,-6.0,135.,115,[],False
Little Rock,Tennessee St.,6.5,142.,142 pushed the pre-game total of 142.,[],False
Texas State,UL Lafayette,11.5,144.5.,131,[],False
South Alabama,UL Monroe,15.5,134.5.,120,[],False
Western Kentucky,Western Kentucky,-2.5,147.5.,152,[],False
Lipscomb,Eastern Kentucky,9.5,149.,151,[],False
Nebraska,Nebraska,4.5,156.5.,154,[],False
Western Illinois,Eastern Illinois,1.5,126.5.,130,[],False
SE Missouri St.,SE Missouri St.,-3.0,142.,169,[],False
Lindenwood,Lindenwood,3.0,137.5.,128,[],False
Purdue Fort Wayne,Cleveland St.,5.0,148.,126,[],False
Montana,Montana,-4.0,146.5.,170,[],False
Montana St.,Montana St.,-10.5,135.,128,[],False
Denver,Denver,3.5,134.,137,[],False
Idaho State,Idaho State,-6.5,140.,148,[],False
Weber St.,Idaho,1.5,143.,156,[],False
Tulane,Memphis,-5.5,151.,124,[],False
CSU Bakersfield,Cal Poly SLO,4.0,158.5.,171,[],False
Pacific,Pacific,11.0,149.,138,[],False
UC Santa Barbara,CSU Northridge,3.5,147.,149,[],False
UC Riverside,UC Davis,5.5,137.5.,118,[],False
San Diego,Pepperdine,-4.0,148.5.,188,[],False
California Baptist,California Baptist,-7.5,137.5.,143,[],False
Long Beach St.,Long Beach St.,14.5,139.5.,155,[],False
Loyola Marymount,Loyola Marymount,-12.5,146.,151,[],False
UCLA,UCLA,-4.5,141.5.,130,[],False
Grand Canyon,Seattle,10.0,141.5.,157,[],False
