Rank,Hotness Score,Matchup,Time,Location
1,99.9,#1 Auburn  at  #4 Alabama,4:00 PM,Coleman Coliseum
2,99.7,#3 Houston  at  #8 Arizona,2:00 PM,McKale Memorial Center
3,99.0,#18 Wisconsin  at  #9 Purdue,1:00 PM,Mackey Arena
4,98.8,#21 Michigan St  at  #13 Illinois,8:00 PM,State Farm Center
5,98.0,#15 Kentucky  at  #34 Texas,8:00 PM,Moody Center
6,97.4,#31 Miss State  at  #26 Mississippi,6:00 PM,The Sandy and John Black Pavilion at Ole Miss
7,97.2,#39 Cincinnati  at  #7 Iowa St,4:00 PM,James H. Hilton Coliseum
7,97.2,#37 Arkansas  at  #19 Texas A&M,12:00 PM,Reed Arena
9,96.9,#27 Missouri  at  #43 Georgia,3:30 PM,Stegeman Coliseum
10,96.8,#45 W Virginia  at  #20 Baylor,2:00 PM,Paul and Alejandra Foster Pavilion
11,95.8,#56 Vanderbilt  at  #6 Tennessee,1:00 PM,Thompson-Boling Arena at Food City Center
12,95.2,#12 Kansas  at  #67 Utah,10:00 PM,Jon M. Huntsman Center
12,95.2,#58 Kansas St  at  #33 BYU,9:00 PM,Marriott Center
14,94.8,#61 Wake Forest  at  #36 S Methodist,6:00 PM,Moody Coliseum
15,94.2,#29 Clemson  at  #70 Florida St,12:00 PM,Donald L. Tucker Center
16,94.1,#51 Boise St  at  #59 San Diego St,10:00 PM,Viejas Arena
17,93.3,#80 S Carolina  at  #5 Florida,8:30 PM,Exactech Arena at the Stephen C. O'Connell Center
18,93.2,#64 LSU  at  #49 Oklahoma,6:00 PM,Lloyd Noble Center
19,92.9,#84 Stanford  at  #2 Duke,4:00 PM,Cameron Indoor Stadium
20,92.7,#44 Villanova  at  #81 Providence,6:00 PM,Amica Mutual Pavilion
21,92.4,#10 Texas Tech  at  #95 Oklahoma St,3:00 PM,Gallagher-Iba Arena
22,92.0,#71 TX Christian  at  #62 Arizona St,8:00 PM,Desert Financial Arena
23,90.3,#92 Minnesota  at  #55 USC,4:00 PM,Galen Center
24,90.2,#85 Georgetown  at  #69 Butler,2:00 PM,Hinkle Fieldhouse
25,90.1,#35 N Carolina  at  #109 Syracuse,6:00 PM,JMA Wireless Dome
26,90.0,#105 Wash State  at  #32 St Marys,10:00 PM,University Credit Union Pavilion
27,89.9,#96 Washington  at  #57 Penn St,2:00 PM,Bryce Jordan Center
28,89.6,#66 UCF  at  #94 Colorado,3:00 PM,CU Events Center
28,89.6,#86 St Josephs  at  #72 Geo Mason,12:30 PM,EagleBank Arena
30,88.6,#110 DePaul  at  #46 Xavier,12:00 PM,Cintas Center
31,87.1,#124 Miami  at  #41 Pittsburgh,12:00 PM,Petersen Events Center
32,85.4,#112 Troy  at  #88 Arkansas St,8:00 PM,First National Bank Arena
33,84.1,#102 Virginia  at  #114 VA Tech,2:00 PM,Cassell Coliseum
33,84.1,#116 California  at  #97 GA Tech,4:00 PM,McCamish Pavilion
