Rank,Hotness Score,Matchup,Time,Location
1,97.4,#27 Iowa  at  #4 Iowa St,8:00 PM,James H. Hilton Coliseum
2,76.1,#195 Saint Joseph's  vs.  #61 Syracuse,9:00 PM,Thomas & Mack Center
3,67.5,#179 UT Arlington  at  #170 UT Rio Grande,7:30 PM,UTRGV Fieldhouse
4,63.8,#279 Alabama St  at  #42 Missouri,8:00 PM,Mizzou Arena
5,59.5,#292 W Carolina  at  #64 Virginia Tech,7:00 PM,Cassell Coliseum
6,48.1,#149 N Dakota St  at  #310 CS Bakersfield,9:30 PM,Icardo Center
7,40.2,#234 App State  at  #288 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
8,19.1,#291 Green Bay  at  #346 IU Indy,6:30 PM,The Jungle
9,--,Trinity Baptist  at  #282 Jacksonville,7:00 PM,Swisher Gymnasium
9,--,Coastal Georgia  at  #251 Georgia So,7:00 PM,Jack and Ruth Ann Hill Convocation Center
9,--,Bloomfield  at  #293 Wagner,7:00 PM,Spiro Sports Center
9,--,Saint John's  at  #159 St Thomas,8:00 PM,Lee & Penny Anderson Arena
9,--,Alaska - Anchorage  at  #280 Denver,9:00 PM,Hamilton Gymnasium
