Rank,Hotness Score,Matchup,Time,Location
1,86.4,#8 New York  at  #13 Phoenix,9:00 PM,Mortgage Matchup Center
2,82.6,#16 Philadelphia  at  #11 Orlando,7:00 PM,Kia Center
3,81.0,#15 Toronto  at  #5 Boston,7:00 PM,TD Garden
4,77.4,#2 Houston  at  #20 Portland,10:00 PM,Moda Center
5,76.8,#17 Atlanta  at  #3 Denver,9:00 PM,Ball Arena
6,71.6,#1 Okla City  at  #19 Memphis,8:00 PM,FedExForum
7,68.3,#21 Milwaukee  at  #14 LA Lakers,10:30 PM,Crypto.com Arena
8,66.6,#18 LA Clippers  at  #25 Brooklyn,7:30 PM,Barclays Center
9,50.7,#29 Sacramento  at  #10 Golden State,10:00 PM,Chase Center
10,48.5,#27 New Orleans  at  #30 Washington,7:00 PM,Capital One Arena
