Rank,Hotness Score,Matchup,Time,Location
1,94.7,#66 Rutgers  at  #20 Michigan,9:00 PM,Crisler Center
2,87.0,#79 N Texas  at  #107 Florida Atlantic,7:00 PM,Abessinio Court at Eleanor R. Baldwin Arena
3,86.7,#56 UCSD  at  #125 CS Northridge,10:00 PM,Premier America Credit Union Arena
4,83.4,#102 UAB  at  #119 Wichita St,9:00 PM,Charles Koch Arena
5,82.7,#134 Jacksonville St  at  #87 Liberty,7:00 PM,Liberty Arena
6,82.4,#32 Saint Mary's  at  #166 Loyola Mymt,11:00 PM,Gersten Pavilion
7,79.3,#130 Chattanooga  at  #127 NC Greensboro,7:00 PM,First Horizon Coliseum
8,75.4,#126 Middle Tenn  at  #162 New Mexico St,9:00 PM,Pan American Center
9,73.6,#142 W Kentucky  at  #159 UTEP,9:00 PM,Don Haskins Center
10,73.0,#155 Cal Baptist  at  #153 Seattle,10:00 PM,Redhawk Center
11,72.0,#205 UT Arlington  at  #94 Grand Canyon,9:00 PM,Global Credit Union Arena at GCU
12,71.3,#117 NC Wilmington  at  #197 Campbell,7:00 PM,Gore Arena/Pope Convocation Center
13,68.4,#131 Bryant  at  #206 UMass Lowell,6:00 PM,Costello Athletic Center
14,66.8,#203 William & Mary  at  #145 Towson,7:00 PM,TU Arena
15,66.4,#213 Oakland  at  #135 Milwaukee,8:00 PM,UW-Milwaukee Panther Arena
16,65.9,#173 Winthrop  at  #186 Longwood,7:00 PM,Joan Perry Brock Center
17,61.3,#174 Cleveland St  at  #216 Wright St,9:00 PM,Nutter Center
18,60.4,#247 N Kentucky  at  #138 Purdue FW,7:00 PM,Allen County War Memorial Coliseum
19,59.7,#246 Delaware  at  #144 Charleston,7:00 PM,TD Arena
20,59.6,#170 UC Riverside  at  #230 Hawai'i,11:59 PM,SimpliFi Arena at Stan Sheriff Center
21,59.5,#194 Montana St  at  #208 Portland St,10:00 PM,Viking Pavilion
22,58.2,#251 Cal Poly  at  #152 UCSB,10:00 PM,The Thunderdome
23,57.4,#234 Hampton  at  #180 Drexel,7:00 PM,Daskalakis Athletic Center
24,54.7,#179 Elon  at  #252 Monmouth,7:00 PM,OceanFirst Bank Center
25,53.6,#283 North Dakota  at  #141 St Thomas,8:00 PM,Schoenecker Arena
26,53.3,#108 Samford  at  #308 VMI,6:00 PM,Cameron Hall
27,51.5,#169 Kennesaw St  at  #277 Florida Intl,7:00 PM,Ocean Bank Convocation Center (FIU)
28,50.8,#223 SE Missouri St  at  #236 SIU Edward,8:30 PM,First Community Arena at the Vadalabene Center
29,50.7,#118 S Dakota St  at  #314 Oral Roberts,8:00 PM,Mabee Center
30,50.4,#318 San Diego  at  #110 Washington St,9:30 PM,Friel Court at Beasley Coliseum
31,47.5,#83 UC Irvine  at  #347 CS Fullerton,10:00 PM,Titan Gym
32,45.0,#226 Idaho St  at  #268 Idaho,9:00 PM,Idaho Central Credit Union Arena
33,40.6,#224 Abl Christian  at  #294 Tarleton St,8:00 PM,Wisdom Gym
34,40.1,#190 Robert Morris  at  #322 IU Indy,6:30 PM,Corteva Coliseum
35,38.1,#320 NC A&T  at  #204 Northeastern,7:00 PM,Matthews Arena
36,37.7,#271 Albany  at  #266 UMBC,6:00 PM,Chesapeake Employers Insurance Arena
37,37.2,#238 Pepperdine  at  #300 Portland,10:00 PM,Chiles Center
37,37.2,#191 Montana  at  #335 Sacramento St,10:00 PM,The Nest
39,36.7,#199 Hofstra  at  #334 Stony Brook,7:00 PM,Island Federal Credit Union Arena
40,36.5,#267 Weber St  at  #276 E Washington,9:00 PM,Reese Court
41,35.4,#351 Le Moyne  at  #178 C Connecticut,7:00 PM,William H. Detrick Gymnasium
42,35.1,#196 Vermont  at  #343 NJIT,7:00 PM,Joel & Diane Bloom Wellness and Events Center
43,33.6,#239 CS Bakersfield  at  #319 Long Beach St,10:00 PM,The Walter Pyramid
44,32.7,#195 Maine  at  #356 New Hampshire,7:00 PM,Lundholm Gymnasium
45,31.4,#333 Denver  at  #233 Kansas City,8:00 PM,Swinney Recreation Center
46,31.1,#231 Little Rock  at  #337 E Illinois,8:30 PM,Groniger Arena
47,29.4,#282 S Utah  at  #302 Utah Tech,9:00 PM,Burns Arena
48,28.0,#326 Morehead St  at  #261 Tennessee St,8:30 PM,Gentry Center
49,21.6,#331 S Indiana  at  #293 UT Martin,8:30 PM,Kathleen and Tom Elam Center
50,20.6,#328 Wagner  at  #301 LIU,7:00 PM,Steinberg Wellness Center
51,19.9,#325 Stonehill  at  #310 F Dickinson,7:00 PM,Bogota Savings Bank Center
52,15.6,#345 W Illinois  at  #309 Tenn Tech,8:30 PM,Hooper Eblen Center
53,12.6,#336 Detroit Mercy  at  #338 Green Bay,7:00 PM,Resch Center
54,6.1,#360 Chicago St  at  #344 Mercyhurst,7:00 PM,Owen McCormick Court at the Mercyhurst Athletic
