Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,519-444-21,53.9%,6.7,+0.7
Golden State,513-449-20,53.3%,5.6,+0.6
Okla City,504-442-16,53.3%,4.7,+0.7
Utah,476-429-22,52.6%,4.5,+0.7
Denver,493-448-15,52.4%,6.0,+0.6
Indiana,485-446-28,52.1%,4.0,+0.8
Memphis,482-444-15,52.1%,2.5,+0.3
New Orleans,452-444-16,50.5%,1.1,-0.2
Portland,457-451-13,50.3%,2.0,+0.1
Philadelphia,460-454-18,50.3%,1.3,-0.2
Miami,486-495-23,49.5%,4.4,-0.2
New York,452-461-10,49.5%,0.4,-0.3
Atlanta,464-474-8,49.5%,1.4,-0.5
Toronto,452-462-19,49.5%,2.8,0.0
Boston,489-503-22,49.3%,5.4,0.0
Cleveland,474-490-13,49.2%,3.5,-0.1
Detroit,454-473-17,49.0%,1.6,-0.2
LA Clippers,457-477-9,48.9%,3.6,-0.2
Charlotte,408-426-15,48.9%,-0.8,0.0
Chicago,452-474-11,48.8%,1.5,-0.6
Dallas,455-483-23,48.5%,4.7,-0.2
Houston,449-477-18,48.5%,4.2,0.0
Milwaukee,443-473-19,48.4%,3.1,-0.4
Phoenix,452-483-12,48.3%,3.0,-0.5
Orlando,434-467-19,48.2%,1.2,-0.4
LA Lakers,452-496-18,47.7%,3.5,0.0
Brooklyn,424-484-19,46.7%,-0.5,-1.1
Washington,418-481-19,46.5%,0.1,-0.2
Sacramento,406-470-24,46.4%,0.1,-0.9
Minnesota,402-504-11,44.4%,0.7,-0.9
