Rank,Hotness Score,Matchup,Time,Location
1,85.2,#8 Minnesota  at  #2 Cleveland,7:00 PM,Rocket Mortgage FieldHouse
2,83.4,#13 Golden State  at  #11 Milwaukee,8:00 PM,Fiserv Forum
3,81.5,#15 Sacramento  at  #9 Dallas,8:30 PM,American Airlines Center
4,81.3,#3 Boston  at  #16 Miami,7:30 PM,Kaseya Center
5,70.3,#22 Atlanta  at  #17 Orlando,7:00 PM,Kia Center
6,65.7,#25 Portland  at  #5 Denver,9:00 PM,Ball Arena
7,54.7,#28 Utah  at  #12 LA Lakers,10:30 PM,Crypto.com Arena
8,47.7,#26 New Orleans  at  #1 Okla City,8:00 PM,Paycom Center
9,47.1,#27 Charlotte  at  #29 Brooklyn,7:30 PM,Barclays Center
10,46.2,#19 San Antonio  at  #30 Washington,7:00 PM,Capital One Arena
