Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Cleveland,Cleveland,-10.5,236.,201,[],False
Brooklyn,Sacramento,-12.0,228.,206,[],False
Boston,Houston,5.5,221.,226,[],False
New York,New York,-3.5,242.5.,249,[],False
Toronto,Toronto,-1.0,232.5.,217,[],False
Miami,Miami,-1.0,206.,244,[],False
Chicago,Chicago,9.5,247.,250,[],False
Minnesota,Atlanta,10.5,217.,192,[],False
Dallas,Dallas,-13.0,231.5.,238,[],False
Utah,Milwaukee,-8.5,239.5.,235,[],False
Phoenix,Phoenix,1.0,225.,220,[],False
