Rank,Hotness Score,Matchup,Time,Location
1,99.3,#4 Iowa St  at  #10 Arizona,10:30 PM,McKale Memorial Center
2,97.2,#38 Penn St  at  #17 Michigan,6:30 PM,Crisler Center
3,95.7,#52 Iowa  at  #27 Ohio St,8:00 PM,Value City Arena
3,95.7,#26 UCLA  at  #61 USC,10:00 PM,Galen Center
5,92.3,#88 NC State  at  #3 Duke,8:30 PM,Cameron Indoor Stadium
6,81.5,#68 McNeese St  at  #157 TX A&M-CC,8:00 PM,American Bank Center
7,66.2,#170 Towson  at  #187 Northeastrn,9:00 PM,Matthews Arena
8,60.3,#265 S Mississippi  at  #110 Troy,6:00 PM,Trojan Arena
9,54.1,#197 Nicholls  at  #240 TX-Pan Am,7:30 PM,UTRGV Fieldhouse
10,44.3,#132 S Alabama  at  #337 UL Monroe,7:30 PM,Fant-Ewing Coliseum
11,41.8,#297 Hsn Christian  at  #210 SE Louisiana,7:00 PM,Pride Roofing University Center
12,41.1,#277 NW State  at  #239 Lamar,8:00 PM,Neches Federal Credit Union Arena at the Montagne
13,31.6,#340 E Illinois  vs.  #220 AR Lit Rock,3:00 PM,Robert F. Hyland Arena
14,28.1,#300 TX Southern  at  #290 Alabama St,8:30 PM,Dunn-Oliver Acadome
15,27.7,#209 Southern  at  #364 Miss Val St,8:30 PM,Harrison HPER Complex
16,26.5,#348 TX A&M-Com  at  #244 Ste F Austin,8:30 PM,William R. Johnson Coliseum
16,26.5,#314 Holy Cross  at  #285 Boston U,7:00 PM,Case Gym
18,25.9,#253 Beth-Cook  at  #346 Alcorn St,6:00 PM,Davey Whitney Complex
19,20.2,#279 Incar Word  at  #353 New Orleans,8:00 PM,Lakefront Arena
20,15.7,#351 Florida A&M  at  #301 Jackson St,8:00 PM,Williams Assembly Center
21,12.2,#310 Grambling St  at  #363 Ark Pine Bl,7:00 PM,H.O. Clemmons Arena (K. L. Johnson Complex)
22,6.8,#344 Prairie View  at  #359 Alab A&M,8:30 PM,Alabama A&M Events Center
