Rank,Hotness Score,Matchup,Time,Location
1,95.2,#4 Houston  at  #7 LA Clippers,10:30 PM,Intuit Dome
2,86.4,#9 Denver  at  #14 Sacramento,10:00 PM,Golden 1 Center
3,80.7,#13 LA Lakers  at  #16 Dallas,7:30 PM,American Airlines Center
4,77.4,#2 Boston  at  #18 Orlando,7:00 PM,Kia Center
5,72.1,#17 Miami  at  #22 Chicago,8:00 PM,United Center
6,69.0,#21 San Antonio  at  #10 Golden State,10:00 PM,Chase Center
7,67.3,#1 Okla City  at  #19 Phoenix,10:00 PM,PHX Arena
8,50.7,#23 Portland  at  #28 Utah,9:00 PM,Delta Center
9,49.6,#25 Philadelphia  at  #30 Washington,7:00 PM,Capital One Arena
10,45.7,#29 Charlotte  at  #24 Toronto,7:30 PM,Scotiabank Arena
