Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Houston,Washington,Houston,-14,223.5.,247,[]
Phoenix,Charlotte,Charlotte,+4.5,225.5.,219,[]
L.A. Lakers,Dallas,Dallas,+6.5,218.,215,[]
Minnesota,New Orleans,Minnesota,-4,222.,201,[]
Atlanta,Utah,Utah,+5.5,239.,245,[]
Miami,Golden State,Miami,+9,217.,212,[]
Boston,Denver,Boston,-10.5,231.5.,224,[]
